Abstract,Authors,Classification,DOI,Keywords,Not Identified,Not identified,Operational,Out of Scope,Publisher,Reasons,Source,Strategic,Tactical,Title,Year
"Artificial Intelligence (AI) enables machines to be intelligent, most importantly using Machine Learning (ML) in which machines are trained to be able to make better decisions and predictions. In particular, ML-based chatbot systems have been developed to simulate chats with people using Natural Language Processing (NLP) techniques. The adoption of chatbots has increased rapidly in many sectors, including, Education, Health Care, Cultural Heritage, Supporting Systems and Marketing, and Entertainment. Chatbots have the potential to improve human interaction with machines, and NLP helps them understand human language more clearly and thus create proper and intelligent responses. In addition to classical ML techniques, Deep Learning (DL) has attracted many researchers to develop chatbots using more sophisticated and accurate techniques. However, research has paid chatbots have widely been developed for English, there is relatively less research on Arabic, which is mainly due to its complexity and lack of proper corpora compared to English. Though there have been several survey studies that reviewed the state-of-the-art of chatbot systems, these studies (a) did not give a comprehensive overview of how different the techniques used for Arabic chatbots in comparison with English chatbots; and (b) paid little attention to the application of ANN for developing chatbots. Therefore, in this paper, we conduct a literature survey of chatbot studies to highlight differences between (1) classical and deep ML techniques for chatbots; and (2) techniques employed for Arabic chatbots versus those for other languages. To this end, we propose various comparison criteria of the techniques, extract data from collected studies accordingly, and provide insights on the progress of chatbot development for Arabic and what still needs to be done in the future. © 2023 NSP Natural Sciences Publishing Cor.",Alazzam B.A.; Alkhatib M.; Shaalan K.,Not identified,10.18576/isl/120437,Arabic Language; Artificial Intelligence; Chatbots; Deep Learning; Machine Learning,50.0,,20,5,Natural Sciences Publishing,"The abstract discusses the development and comparison of chatbot systems, particularly focusing on Arabic and English languages, but it does not clearly fit into strategic, tactical, or operational categories related to marketing. Additionally, it lacks a clear definition or focus on a single classification level.",scopus-ai,10,15,Artificial Intelligence Chatbots: A Survey of Classical versus Deep Machine Learning Techniques,2023
"Few key skills among many that are needed in the 21st century are critical thinking, creativity, collaboration, meta cognitive skills, technology literacy and decision making under uncertainty. With the emergence of ChatGPT and other Generative AI tools, there is a dire need for a distinctive way of learning and application of learning to ensure learning effectiveness. Mere content is no longer the most important factor to learn these skills but. what is needed is the ability to retrieve material learnt, in the context of application. For the learner to be able to apply the critical thinking levels and higher learning levels of Blooms taxonomy, the basic first level of remembering forms the basic foundation, particularly when the students are from first generation educated families or with disadvantaged socioeconomic backgrounds. However, when students cram for the exams, they generally get an ‘illusion of learning’, where they think they know, but in reality often they may not be able to recall what they crammed when they need it later. This is a case of inefficient investment of time and effort in learning for the student. For the teacher, it slows down the teaching process and opportunity to engage in higher order thinking level applications. Addressing the frustrations of both teacher and students, the authors applied the concept of Retrieval method for MBA I year for Marketing Management course during a semester and a survey was conducted at the end of the semester to understand the perception of students on effectiveness of Retrieval techniques. The results supported that retrieval techniques were effective in supporting the student learning. © 2023 JEET.",Vishnu Vandana V.; Rao A.M.,Not identified,10.16920/jeet/2024/v37is2/24102,Blooms Taxonomy; Learning intervention; Retention technique; Retrieval Technique,60.0,,10,5,Rajarambapu Institute Of Technology,"The abstract discusses educational strategies and retrieval methods in learning, which do not directly fit into the categories of strategic, tactical, or operational marketing decisions, nor are they out of scope since they relate to the learning process rather than marketing applications.",scopus-ai,10,15,Retrieval method as a learning intervention for long term retention and creative thinking skills,2024
"In the past decades, researchers in various areas of social and cognitive psychology have developed dual process theories of information processing. Although these theories differ on a variety of dimensions, including domains of application and specific definitions, they all share the basic assumption that two different modes of information processing operate in making judgments, decisions as well as in solving problems. In essence, the common distinction in dual process modes is between a fast, associative information process mode with low effort heuristics, and a slow, rule-based mode with high effort systematic process. On the basis of a brief theoretical development introduction, we illustrate how the dual process theory is manifested in various disciplines. Table 1 summarizes the different representations of dual process, including heuristic vs. systematic; peripheral route vs. central route; associative access vs. attitude construct; categorization vs. individuation; automatic contextual influences vs. correction; experiential vs. rational; impulsive vs. reflective; implicit vs. explicit. Later on, we discuss how different types of information processing modes are determined and what the main factors that may significantly influence information processing adoption. Several determinants are identified froma review of the extant literature; for instance, the involvement would be an influential factor that affects what type of information processing mode adopted. Specifically, if an information processor does not have a high level of involvement, it would be more likely of him / her to adopt a heuristic mode comparing with a systematic mode. Similarly, if a consumer does not in a focal status of high motivation, comparing with the one with a high level of motivation, he/ she would be more likely to adopt a heuristic mode. The related factors that are generally discussed in previous studied are shown in Table 2. Although we may learn that these factors as listed are playing significant roles in influencing what type of information processing mode adopted, little has been discussed in prior research in relation to the possible interaction effects that would play a role. In particular, we could conjecture that a higher level of motivation of information processor would be more likely to adopt systematic information processing mode, but what would be happen if the information processor does not have a higher level of ability to process the information in order to make a judgment or decision? Will the information processor adopt systematic mode or heuristic mode? Moreover, when we try to take the risk as an important factor into consideration, if the decision context is with a high risk, will the information processor adopt systematic processing mode even if he/ she does not have the ability to process related information? Whether the processor would adopt heuristic processing mode when he / she does not have the ability to process? This calls for future research to further explore more rich findings and interesting underlying mechanisms. The exploration of the impacts aroused by various influential factors would be a bright future. Future research could be extended on the basis of the current theory at least from the following three facets. First, the exploration of the theory application. As we discussed above, most of previous studies emphasize on investigating the independent effect of individual factor on information processing mode adoption, while little has been discussed on the underlying effects aroused by interactive factors in various contexts. Take the online product review context-a hot topic studied in information systems, marketing, as well as electronic commerce disciplines-as an example, our review of recent studies shows that although the dual process theories have been widely applied to examine the effects of online product reviews, or the review helpfulness itself, there is scant research regarding what factors that really determine which type of information processing mode used, and whether the information processing mode would be dynamically caused by various interactive factors. On the basis of the analysis of our paper which argues that the determinant factors that would be interactive in affecting the information processing mode, related future research with respect to this area could be widely extended. As regard to the research methodology in examining the focal theory, secondly, we call for more advanced method which could be used in future research in order to explore more interesting findings. Particularly, the current studies in relation to the dual process theories largely focus on experimental method or survey, while few attentions have been paid by using behavioral data to deduce what type of information processing mode being used. Based on the research logic presented by recent seminal papers such as Gladstone et al., Stachl et al. and Wu et al., we think it is feasible to extend the method scope to examine this theory. In addition, third, with respect to the extension of the theory itself, in line the recent arguments of seminal papers published on Nature (Rahwan et al.) and California Management Review (Huang et al., we may conjecture that the dual process theory could be extended in the new artificial intelligence era. In particular, during the interaction between human and robot (artificial intelligence), it is imperative to understand whether the robot, cognitively, will use these two different types of processing modes in their information processing like human? How would the robot be in the eye of human when the brain becomes to integrate with robot? Will the robot be the third processing mode complementing with the original two processing mode? Or will the robot interrupt the original two processing modes? Or will the robot replace the one type of either processing mode? We call for future research to further explore the bright and interesting area to explore the effects of interaction between human and robot. © 2021. All Rights Reserved.",Liqiang H.; Kanliang W.,Not identified,10.13587/j.cnki.jieem.2021.06.001,Decision making; Dual process model; Dual process systems; Judgment; Social cognition,80.0,,5,0,Zhejiang University,"The abstract discusses dual process theories in psychology and their implications for information processing modes, which are not clearly aligned with strategic, tactical, or operational marketing decisions. It primarily focuses on theoretical exploration rather than practical applications in marketing.",scopus-artificial intelligence,10,5,Effects of influential factors and their interactions in information processing strategy adoption: The perspective from dual process theory,2021
"Many educational institutions, assessing their prospects, plan to develop distance educational services using their own electronic and information educational environments (EIEE). During creating and operating EIEE of educational institution (EI), a number of questions arise related to structural, marketing, personnel and other decisions. The purpose of this article is to research the organizational, technical and didactic aspects of the EIEE EI. The methodology of the research is based on methods of system analysis, cybernetics, pedagogical psychology and didacticism. A conceptual model of the EIEE EI as an organizational and technical system has been proposed. It includes a marketing subsystem, a set of technical tools, various types of security and an organizational subsystem. The main functions of these subsystems and their various components have been identified. A didactic model of a typical complex of digital educational resources has been developed. Within this model, the diversity of digital educational resources across each academic discipline is integrated into complexes that provide a complete study at different target levels of assimilation, from initial acquaintance to solving uncharacteristic professionally oriented tasks. From the point of view of pedagogical psychology and cybernetics, the high importance of feedback in EIEE EI is shown. The classification of feedbacks (internal and external) is proposed for the triad ""Teacher - Teaching Program - Learner"". The limits of the use of automation in the formation of feedbacks are specified, as opposed to other (non-computer) responses to students' educational activities. The role and place of feedback in the ""digital footprints"" of students and teachers is shown and the directions for the use of this data in artificial intelligence systems are outlined. © 2021 Moscow Polytechnic University. All rights reserved.",Solovov A.V.; Menshikova A.A.,Not identified,10.31992/0869-3617-2021-30-1-144-155,Artificial intelligence in learning; Digital educational resources; Digital footprints; E-learning; Electronic information and education environment; Feedback in learning automation; Online learning,30.0,,10,40,Moscow Polytechnic University,"The abstract discusses the development of electronic and information educational environments (EIEE) in educational institutions, focusing on organizational, technical, and didactic aspects without clearly aligning with strategic, tactical, or operational decisions in marketing. The content is more academic and oriented towards educational technology rather than business strategy or marketing.",scopus-artificial intelligence,10,10,Models for the design and operation of digital educational environments,2021
"Traditional quantitative methods of analysis and simulation are compared with recently developed techniques in qualitative simulation by using as a case-study a simple dynamic model of the interacting markets for housing and mortgages. Analysis by the different techniques shows that while the qualitative simulation requires less detailed models, of the precision normally available in practice, it results in ambiguous descriptions of behaviour that for certain initial conditions can obscure the true behaviour. By contrast, quantitative simulation produces a unique precise behaviour, but in requiring excessively specific information of the modeller it may produce an inaccurate if precise outcome. © 1995.",Wyatt G.J.; Leitch R.R.; Steele A.D.,Not identified,10.1016/0167-9236(94)00030-V,Envisionment; Flowgraph; Housing market; Mortgage market; QSim; Qualitative simulation,50.0,,5,20,,"The abstract discusses comparisons between quantitative and qualitative simulation methods without clearly aligning with the definitions of strategic, tactical, or operational marketing decisions. It focuses on analytical techniques that don't fit neatly into the provided categories.",scopus-artificial intelligence,10,15,Qualitative and quantitative simulation of interacting markets,1995
"Behavioral research in accounting has ignored the concepts of attention and memory which are crucial both to the development of a complete understanding of how accounting information is processed by humans and to the interpretation of existing research. In this paper, a review of literature from psychology, marketing and artificial intelligence is used to develop a series of significant research areas to increase accountants' understanding of the roles that attention and memory have in the human processing of accounting information. © 1984.",Birnberg J.G.; Shields M.D.,Not identified,10.1016/0361-3682(84)90020-5,,60.0,,10,10,,"The abstract discusses concepts from psychology and behavioral research in accounting but does not clearly align with the definitions of strategic, tactical, or operational decision-making in the context of marketing as provided. It does not relate to AI applications in marketing or any of the other classification types.",scopus-artificial intelligence,10,10,The role of attention and memory in accounting decisions,1984
"Technology and magic both represent the human will to power - to dominate nature and ultimately humans. In a technological civilization, magic imitates technology. Modern management often entails psychological techniques (the human relations approach) and organizational techniques (the scientific approach). The heart of the latter is statistical measurement and prediction of the future. This article examines the magical use of statistical measurement and prediction of the future. Magic here operates according to the principle of the self-fulfilling prophecy. Because statistical information is perceived to be related to the success of an organization and is invariably collected in abundance, it is given credit for actual success.",Stivers R.,Not identified,10.1177/0270467604263485,Equality; Magic; Management; Normal; Self-fulfilling prophecy; Statistics; Technology,60.0,,10,10,SAGE Publications Ltd,"The abstract discusses the relationship between technology, magic, and statistical measurement in organizations but does not clearly align with the definitions or examples provided for strategic, tactical, or operational classifications.",scopus-prediction,10,10,The Role of Statistics in Management Magic,2004
"This paper presents the authors' rejoinder to Zeithammer and Adams [Zeithammer, R., C. Adams. 2010. The sealed-bid abstraction in online auctions. Marketing Sci. 29(6) 964-987]. This rejoinder clarifies and qualifies conclusions of the original paper and makes suggestions for fruitful areas of future research. In particular, the original paper shows that bidding style can make a big difference in managerial decisions, but a structural model would be necessary to make confident predictions under different reserve prices. The rejoinder also clarifies the interpretation of feedback as a measure of bidder experience, and the relationship between bidder experience and bidding style. © 2010 INFORMS.",Zeithammer R.; Adams C.,Not identified,10.1287/mksc.1100.0597,Auctions; Econometrics; Empirical io methods; Measurement and inference,70.0,,5,0,,"The abstract discusses a rejoinder to a previous paper and clarifies aspects of bidding styles and managerial decisions in online auctions, but it does not clearly fit into the defined categories of strategic, tactical, or operational marketing decisions.",scopus-prediction,10,15,Causes and implications of some bidders not conforming to the sealed-bid abstraction,2010
"Thought experiments have been used as an effective methodological approach to advance theory in numerous scientific fields. However, they are underutilized in organizational behavior (OB) and adjacent fields. Accordingly, we conducted a comprehensive and multidisciplinary literature review of thought experiments that entailed 174 sources in economics, psychology, marketing, medicine, sociology, finance, and other fields. We used insights from this literature review to define and describe the unique nature of thought experiments and offer a taxonomy of four main types based on a theory's development stage (i.e., early vs. late) and a study's theoretical goal (i.e., confirmation vs. disconfirmation). We also provide a decision-making tree useful for evaluating whether conducting a thought experiment is beneficial for a particular research situation and which of the four types is most likely to produce a meaningful contribution. Then, we offer best-practice recommendations for conducting thought experiments that address how to plan, execute, report results, and discuss implications. In addition, we demonstrate the potential of thought experiments by using the best-practice recommendations to design and conduct a thought experiment in the domain of workplace allyship. Finally, we offer suggestions for future substantive research that would benefit from thought experiment methodology (i.e., diversity, equity, and inclusion; leadership; performance; selection and recruitment; teams; and turnover). Overall, our article offers a comprehensive review and recommendations that we hope will be a catalyst for using thought experiments to advance theory in OB and related fields. © 2022 The Authors. Journal of Organizational Behavior published by John Wiley & Sons Ltd.",Aguinis H.; Beltran J.R.; Archibold E.E.; Jean E.L.; Rice D.B.,Not identified,10.1002/job.2658,methodology; research design; theory advancement; thought experiments,80.0,,5,0,John Wiley and Sons Ltd,"The abstract discusses thought experiments in organizational behavior and related fields, which does not fit neatly into the provided classification levels. It provides insights and recommendations but lacks clarity on specific strategic, tactical, or operational applications in marketing.",scopus-recommendation,10,5,Thought experiments: Review and recommendations,2023
"In 2018, a multisite case study investigated the agricultural challenges faced by Maldivian farmers and farming stakeholders. The study interviewed a total of 373 farmers and stakeholders from 51 islands across 15 atolls. In their own words, farmers and stakeholders identified factors in macro and micro levels agricultural systems that are related to poor connectivity between farmers and the markets. This research article conducts a deeper investigation into these factors using the Ecological Systems Theory. In this investigation, the data clearly reveal that any efforts towards market connectivity resolution must address the individual within the context of the greater, extrinsic challenges present in the interrelated systems of farming in the Maldives. While the individual is placed at the smallest level of a greater system, and the interconnections of the larger systems are great in impact, the individual is ultimately the decision maker on what and how things work, and how effective they will be. In this article, five recommendations are identified to enhance farmers’ connectivity to markets. This first-person perspective of smallholder farmers is an essential contribution to understanding what measures are needed to address connectivity challenges between Maldivian farmers and the markets they would like to supply. © 2023 The Author(s).",Van Driessche P.A.,Not identified,10.1177/09730052231161897,General agriculture; international institutions & organisations; natural resource management; relationship marketing,80.0,,5,0,Sage Publications India Pvt. Ltd,"The abstract discusses agricultural challenges and systemic factors affecting market connectivity for farmers, which does not align well with the definitions of strategic, tactical, or operational decision-making as related to marketing applications.",scopus-recommendation,10,5,Agricultural Producer Markets in the Maldives: How Poor Market Connectivity Between Farmers and the Markets can be Enhanced,2024
