Abstract,Authors,Classification,DOI,Keywords,Not Identified,Not identified,Operational,Out of Scope,Publisher,Reasons,Source,Strategic,Tactical,Title,Year
"Some businesses on product development prefer to use a chatbot for judging the customer's view. Today, the ability of a chatbot to consider the context is challenging due to its technical nature. Sometimes, it may misjudge the context, making the wrong decision in predicting the product's originality in the market. This task of chatbot helps the enterprise make huge profits from accurate predictions. However, chatbots may commit errors in dialogs and bring inappropriate responses to users, reducing the confidentiality of product and marketing information. This, in turn, reduces the enterprise gain and imposes cost complications on businesses. To improve the performance of chatbots, AI models are used based on deep learning concepts. This research proposes a multi-headed deep neural network (MH-DNN) model for addressing the logical and fuzzy errors caused by retrieval chatbot models. This model cuts down on the error raised from the information loss. Our experiments extensively trained the model on a large Ubuntu dialog corpus. The recall evaluation scores showed that the MH-DNN approach slightly outperformed selected state-of-the-art retrieval-based chatbot approaches. The results obtained from the MHDNN augmentation approach were pretty impressive. In our proposed work, the MHDNN algorithm exhibited accuracy rates of 94% and 92%, respectively, with and without the help of the Seq2Seq technique. © 2023 Elsevier Ltd",Zheng S.; Yahya Z.; Wang L.; Zhang R.; Hoshyar A.N.,Operational,10.1016/j.ipm.2023.103446,Artificial intelligence; Business product development; Chatbot; Deep neural network; Marketing,5.0,,65,5,Elsevier Ltd,"The abstract discusses the implementation of a multi-headed deep neural network (MH-DNN) model to improve the performance of chatbots, which are primarily focused on managing day-to-day consumer interactions and decision-making processes. This is indicative of operational-level decisions.",scopus-ai,10,15,Multiheaded deep learning chatbot for increasing production and marketing,2023
"The proliferation and increasing significance of AI-enabled voice assistants (AIVAs) for consumer purchase decisions imply the need for a better understanding of their acceptance in the higher education (HE) enrollment context. Using the Grounded Theory (GT) research method and a consumer value perspective, we examine the enrolment decision-making of international students in the presence of AIVAs to propose a conceptual model linking value to adoption. Findings highlight the influence of the key antecedents of hedonic and functional value in AIVA adoption. The findings also indicate that the student and the AIVA can co-create novel experiences during information search and evaluation of enrollment alternatives. Some participants proactively suggest a larger role for the AIVA to aid their enrollment decision-making. Points of attention for university marketing managers are suggested based on the proposed core concept and the resulting tentative hypotheses. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",Pawar S.K.; Vispute S.A.,Operational,10.1080/08841241.2023.2239720,AI-enabled voice assistants; consumer behaviour; enrollment decision-making; international marketing of higher education; international students; university marketing strategy,10.0,,65,0,Routledge,"The abstract discusses the adoption of AI-enabled voice assistants (AIVAs) in the context of higher education enrollment decision-making, focusing on day-to-day consumer interactions and decision processes. This aligns with managing day-to-day activities and individual decisions facilitated by AI tools.",scopus-ai,10,15,Exploring international students’ adoption of AI-enabled voice assistants in enrolment decision making: a grounded theory approach,2023
"Consumers are widely adopting Artificially Intelligent Voice Assistants (AIVAs). AIVAs now handle many different everyday tasks and are also increasingly assisting consumers with purchasing decisions, making AIVAs a rich topic for marketing researchers. We develop a series of propositions regarding how consumer decision-making processes may change when moved from traditional online purchase environments to AI-powered voice-based dialogs, in the hopes of encouraging further academic thinking and research in this rapidly developing, high impact area of consumer-firm interaction. We also provide suggestions for marketing managers and policymakers on points to pay attention to when they respond to the proposed effects of AIVAs on consumer decisions. © 2020, The Author(s).",Dellaert B.G.C.; Shu S.B.; Arentze T.A.; Baker T.; Diehl K.; Donkers B.; Fast N.J.; Häubl G.; Johnson H.; Karmarkar U.R.; Oppewal H.; Schmitt B.H.; Schroeder J.; Spiller S.A.; Steffel M.,Operational,10.1007/s11002-020-09537-5,Artificial intelligence; Consumer decision-making; Consumer dialogs; Consumer models; Digital marketing; Voice assistants,5.0,,65,5,Springer,"The abstract discusses how Artificially Intelligent Voice Assistants (AIVAs) impact consumer decision-making processes, which aligns closely with the management of day-to-day consumer interactions and preferences. It highlights the use of AIVAs for consumer decisions, indicating a focus on operational aspects of marketing.",scopus-ai,10,15,Consumer decisions with artificially intelligent voice assistants,2020
"Many firms rely on choice experiment-based models to evaluate future marketing actions under various market conditions. This research investigates choice complexity (i.e., number of alternatives, number of attributes, and utility similarity between the most attractive alternatives) and individual differences in decision time as key factors that affect the predictive performance of models based on choice experiments, both within and between complexity conditions. The results show that complexity and individual decision time not only affect the error in consumer choice models but also consumers' decision strategy and systematic utilities. The authors introduce a complexity-adjusted mixed logit (CAM logit) model to capture the various influences of complexity in choice experiment-based models. They illustrate the consequences of complexity on choice behavior with market share predictions of the CAM logit model for different complexity conditions. © 2012, American Marketing Association.",Dellaert B.G.C.; Donkers B.; Van Soest A.,Operational,10.1509/jmr.09.0315,Choice complexity; Choice experiments; Choice model predictive performance; Choice models; Decision time,5.0,,60,0,American Marketing Association,"The abstract discusses choice experiment-based models and their predictive performance, focusing on decision time and complexity, which relates to day-to-day marketing activities and consumer decision-making processes.",scopus-prediction,10,25,Complexity effects in choice experiment-based models,2012
"The power that default options have in shaping choice has been well established, yet relatively little is known about how decision makers experience and interpret such preselected options. Research suggests that individuals assume defaults represent a recommended course of action, yet the basis for this recommendation is unclear. Across two experimental studies, we explored consumer theories of default recommendations, examining spontaneous and experimentally manipulated perceptions of the basis of the default, and the impact on decision making across different contexts. Evidence across diverse populations and tasks shows that options were retained to a greater extent when represented as the default, consistent with classic default effects. Furthermore, a significant default effect emerged when the decision context was framed as complex. In line with research on social influence, defaults were most effective when they were presumed to reflect the most popular option (regardless of context). Interestingly, participants rated defaults as being more likely to represent the most popular option, regardless of decision context or default explanation provided to them. These findings highlight the importance of understanding the contexts in which default choices are relied upon and how those defaults are perceived by decision makers. © 2022 John Wiley & Sons Ltd.",Buchanan T.M.; Buchanan J.; Diedericks D.; Davis L.,Operational,10.1111/ijcs.12847,decision making; default; nudge; perceptions; social psychology,5.0,,60,5,John Wiley and Sons Inc,"The study focuses on how default options influence consumer decision-making, which relates to managing consumer preferences and choices, indicative of operational decision-making.",scopus-recommendation,10,20,I'll have what she's having: (Social) Perceptions of default options and implications for marketing and decision making,2023
"Multiple criteria approaches can assist the product manager to know the consumer preferences in the context of e-commerce. Consumer preference analysis explains what aspects of a product affect and how they affect a consumer's purchasing decision. This issue plays an important role in e-commerce platforms from its relevance in marketing decisions such as advertisements, recommendations and promotions. In this regard, we propose a data-driven multiple criteria decision aiding (MCDA) approach to integrate online information, such as explicit (e.g., reviews and ratings) and implicit (e.g., clicks and purchases) feedback from consumers. However, MCDA approaches present a critical challenge that even an experienced product manager could find it difficult to pre-define the criteria on which a product is evaluated. To address this issue, our proposed approach first utilizes text-mining techniques to assist the product manager identify the criteria, and then determines and collects the relative importance of the criteria and their values. Given the criteria information, we use a sampling process to provide two indices, the consumer preference index and rank acceptability index. The first index helps in prioritizing the pairwise comparisons of products, while the second one helps in deriving a default ranking list for first-time-registered consumers. We record the products viewed by consumers and generate their preference information in the form of pairwise comparisons for analyses within an aggregation-disaggregation paradigm. We also provide a representative value function to help the product manager gain insight into the preferences. Finally, we describe how a real-world application including the product manager and consumers exploits the proposed approach on an e-commerce platform to take a large step toward aiding more realistic and data-driven multiple criteria decision making. © 2019 Elsevier Ltd",Guo M.; Liao X.; Liu J.; Zhang Q.,Operational,10.1016/j.omega.2019.05.010,E-commerce; Multiple criteria decision making; Online reviews; Preference analysis; Preference modeling,10.0,,60,0,Elsevier Ltd,The abstract describes a data-driven approach to assist product managers in understanding consumer preferences using multiple criteria decision aiding (MCDA) methods. This involves day-to-day decision-making processes related to consumer preferences and product evaluation.,scopus-recommendation,10,20,Consumer preference analysis: A data-driven multiple criteria approach integrating online information,2020
"The role of virtual salesperson (VS) and the importance of customer reviews in facilitating online purchase decisions and sales have recently received much attention from technology companies, marketing practice professionals, and academics. However, customers’ willingness to follow the purchase advice of the VS when there is a conflict between these recommendations and those of other online customers is less understood. This research theorizes and investigates the extent to which customers’ relationship satisfaction with, and trust in, the VS helps explain customer willingness to follow VS advice in the context of recommendation conflict. Using four studies, our research explores how and when the VS’s avatar design mitigates the negative influence of conflict. An important theoretical and managerial implication of this research is that VS avatar designs that are high in automated social presence (ASP) help reduce the negative impact of conflict. However, we find that ASP mitigates the negative effects of conflict only for avatars that score low (vs. high) on cuteness. © The Author(s) 2020.",Lin Y.-T.; Doong H.-S.; Eisingerich A.B.,Operational,10.1177/1094670520964872,avatar design; cuteness; relationship satisfaction; social presence; trust,5.0,,70,0,SAGE Publications Inc.,"The abstract discusses the role of virtual salespersons and how their design influences customer decision-making related to online purchases. This is closely aligned with day-to-day activities, particularly in managing interactions with AI assistants and consumer recommendations.",scopus-recommendation,10,15,Avatar Design of Virtual Salespeople: Mitigation of Recommendation Conflicts,2021
"In diverse social environments, recommendations from others have the power to change consumer behavior. In this study, we explore the influence of recommendations made by others with whom consumers have different degrees of familiarity on the cognitive processes of online shopping using event-related potentials (ERPs). Sixteen healthy university subjects were recruited for 2 experiment tasks. These subjects viewed a stimulus sequence of pictures of certain products that contained either recommendations from individuals with whom they had low familiarity or no recommendation. Several days later, they viewed the other stimulus sequence of the same product pictures but this time with either recommendations from individuals with whom they had high familiarity or no recommendation. Electroencephalogram data were recorded during the experiment. Compared to having no recommendations, the results showed that the ERP components N2 and P3 evoked by recommendations were different: The recommendations from low-familiarity individuals induced the largest average amplitude of N2, and the recommendations from highfamiliarity individuals induced the largest average amplitude of P3. The results suggest that N2 reflects the process of identifying the recommendation information, and P3 reflects consumers' propensity to purchase recommended products, or the cognitive process of selection based on value measurement. These findings indicate that recommendations may impact consumer responses and highlight the importance of careful consideration of social preferences in marketing. © 2016 American Psychological Association.",Guo F.; Zhang X.; Ding Y.; Wang X.,Operational,10.1037/npe0000051,Event-related potentials; Neural responses; Propensity; Recommendation; Value measurement,10.0,,60,0,American Psychological Association Inc.,"The study focuses on the cognitive processes involved in consumer behavior and recommendations during online shopping, which aligns closely with day-to-day operational decisions and managing consumer interactions.",scopus-recommendation,10,20,Recommendation influence: Differential neural responses of consumers during shopping online,2016
"Many manufacturers are today striving to offer a large number of value-added PSSs (Product-Service Systems). The increased number of PSS hinders potential buyers from effectively discovering the most suitable PSS to satisfy their personalized requirements. To accurately find the needed or wanted PSS with lower search costs, it is effective to recommend suitable PSS solutions to the right buyers. However, service, a component of PSS, brings more subjective and imprecise information in acquiring users' preferences due to e.g. their different experience and knowledge on services. Moreover, the interactions within user's preferences are often omitted in previous methods, which may lead to inaccurate recommendation results. Therefore, to solve these problems, an innovative method for PSS recommendation is developed. This method explicitly takes into account the environmental aspect of PSSs in question so that a method user can be guided to select an environmentally superior alternative. In addition, rough DEMATEL (Decision-Making and Trial Evaluation Laboratory) is proposed to manipulate the interactions of vague user preferences in multi-criteria weight determination. Furthermore, a rough collaborative filtering approach is developed to make PSS recommendation under vague environment. A case study of elevator PSS recommendation shows the feasibility and potentials of the proposed approach. Theoretically, the new method can produce more reasonable PSS recommendation results by considering the interdependencies between different recommendation criteria. In marketing practice, the method can suggest proposals of new offerings to customers in a proactive manner. © 2017 Elsevier Ltd",Song W.; Sakao T.,Operational,10.1016/j.jclepro.2017.10.092,DEMATEL; Personalization; Product-Service System; Recommendation; Search cost,5.0,,60,5,Elsevier Ltd,"The abstract discusses a method for recommending Product-Service Systems (PSS) to users based on their preferences, which aligns with managing day-to-day activities related to consumer decisions and recommendations online.",scopus-recommendation,10,20,An environmentally conscious PSS recommendation method based on users' vague ratings: A rough multi-criteria approach,2018
"This article examines how a common form of decision assistance- recommendations that present products in order of their predicted attractiveness to a consumer-transforms decision processes during product search. Such recommendations induce a shift in consumers' decision orientation in search from being directed at whether additional alternatives should be inspected to identifying the best alternative among those already encountered, which is common when choosing from predetermined sets of alternatives. That is, recommendations cause consumers to search in ""choice mode."" Evidence from three studies provides support for such a transformation of search decisions, which manifests itself in two respects. First, compared with unassisted search, recommendations lead consumers to assess a product they encounter in their search by comparing it less with the best one discovered up to that point and more with other previously inspected alternatives. Second, recommendations transform how variability in product attractiveness affects stopping decisions such that greater variability causes consumers to search less, which is contrary to what is commonly observed in search without recommendations. © 2012, American Marketing Association.",Dellaert B.G.C.; Häubl G.,Operational,10.1509/jmr.09.0481,Behavioral search models; Consumer decision making; Product recommendations; Product search,10.0,,65,0,American Marketing Association,"The abstract discusses how recommendations in product search influence consumer decision-making processes, which aligns closely with day-to-day activities and consumer behavior management, typical of operational decisions.",scopus-recommendation,10,15,Searching in choice mode: Consumer decision processes in product search with recommendations,2012
