Abstract,Authors,Classification,DOI,Keywords,Not Identified,Not identified,Operational,Out of Scope,Publisher,Reasons,Source,Strategic,Tactical,Title,Year
"Herbicides are used worldwide to protect agricultural crops, glyphosate being among the most frequently applied. In 2019 the European Commission approved the use of this herbicide for another 5 years and is now preparing its re-authorization for marketing. It is known that glyphosate (an active ingredient—AI) is usually less toxic than its commercial formulations, which may be related to adjuvants presents in such formulas. In this context, this work aimed to evaluate and compare the effects of glyphosate, as the commercial formulation Roundup® Ready (RR), and the AI in the Hydra viridissima life cycle, namely: mortality, morphology, feeding, reproduction, and regeneration. To attain this goal, H. viridissima was exposed to an environmentally relevant concentration of glyphosate (5.2 mg AI/L, both for RR and the AI) and to its culture medium (control). The mortality was lower than 0.03% for both RR and AI. Regarding morphological alterations, these were more severe on organisms exposed to RR, while a high recovery capacity in hydras exposed to AI was observed. No hydra was able to completely regenerate its body parts when exposed to RR, while 95% of the organisms exposed to AI were able to regenerate completely. The feeding rates of hydras exposed to RR decreased by from ~20% to ~50% compared to AI. As for reproduction, hydras exposed to RR released ~70% less buds than those exposed to AI. These timely results suggest that adjuvants present in the commercial formulation of glyphosate may cause higher toxicity to biota than the AI at environmentally relevant concentrations. Though the commercial formulation exerted higher toxicity in hydra, the effects AI induced in the morphology of the hydra cannot be disregarded, suggesting that a deeper understanding on the long-term toxicity of this AI is still needed to further support the decision on its marketing authorization and environmentally safe use. © 2023 by the authors.",Venâncio C.; Barbosa C.; Lopes I.,Out of scope,10.3390/su151612428,environmentally relevant; green hydra; herbicide; life cycle parameters; plant protection products,0.0,,0,100,Multidisciplinary Digital Publishing Institute (MDPI),"The abstract discusses the ecological and toxicological effects of glyphosate and its commercial formulations on living organisms, which falls outside the realm of marketing and strategic business decisions.",scopus-ai,0,0,Glyphosate and Roundup® Ready Effects in Hydra viridissima: New Data in an Old Issue,2023
"Background: In an effort to improve the quality of medical care, the philosophy of patient-centered care has become integrated into almost every aspect of the medical community. Despite its widespread acceptance, among patients and practitioners, there are concerns that rapid advancements in artificial intelligence may threaten elements of patient-centered care, such as personal relationships with care providers and patient-driven choices. This study explores the extent to which patients are confident in and comfortable with the use of these technologies when it comes to their own individual care and identifies areas that may align with or threaten elements of patient-centered care. Methods: An exploratory, mixed-method approach was used to analyze survey data from 600 US-based adults in the State of Florida. The survey was administered through a leading market research provider (August 10–21, 2023), and responses were collected to be representative of the state’s population based on age, gender, race/ethnicity, and political affiliation. Results: Respondents were more comfortable with the use of AI in health-related tasks that were not associated with doctor-patient relationships, such as scheduling patient appointments or follow-ups (84.2%). Fear of losing the ‘human touch’ associated with doctors was a common theme within qualitative coding, suggesting a potential conflict between the implementation of AI and patient-centered care. In addition, decision self-efficacy was associated with higher levels of comfort with AI, but there were also concerns about losing decision-making control, workforce changes, and cost concerns. A small majority of participants mentioned that AI could be useful for doctors and lead to more equitable care but only when used within limits. Conclusion: The application of AI in medical care is rapidly advancing, but oversight, regulation, and guidance addressing critical aspects of patient-centered care are lacking. While there is no evidence that AI will undermine patient-physician relationships at this time, there is concern on the part of patients regarding the application of AI within medical care and specifically as it relates to their interaction with physicians. Medical guidance on incorporating AI while adhering to the principles of patient-centered care is needed to clarify how AI will augment medical care. © The Author(s) 2024.",Witkowski K.; Okhai R.; Neely S.R.,Out of scope,10.1186/s12910-024-01066-4,Artificial intelligence; Patient-centered care; Patient-physician relationship; Public perception,,0.0,0,100,BioMed Central Ltd,"The abstract discusses the implications of AI in medical care, which falls under healthcare rather than marketing.",scopus-ai,0,0,Public perceptions of artificial intelligence in healthcare: ethical concerns and opportunities for patient-centered care,2024
"Purpose: This research examines whether anthropomorphizing artificial intelligence (AI) chatbots alters consumers' risk preferences toward financial investment options involving differential risks. Design/methodology/approach: An experimental approach has been adopted with three studies, all featuring a between-subjects design. Findings: Through three studies, the findings document that, in a financial decision-making context, anthropomorphizing AI leads to significantly greater risk aversion in investment decision-making (Study 1). This occurs because AI-enabled chatbot anthropomorphization activates greater psychological risk attachment, which enacts consumers to manifest stronger risk aversion tendency (Studies 2 and 3). Originality/value: Anthropomorphizing AI has undeniable relevance in the contemporary marketing landscape, such as humanoid robotics and emotion AI algorithms. Despite of anthropomorphism's significance and relevance, the downstream impact of anthropomorphism remains unfortunately underexplored. © 2022, Emerald Publishing Limited.",Cui Y.,Out of scope,10.1108/IJBM-09-2021-0451,Anthropomorphism; Artificial intelligence (AI); Political ideology; Psychological closeness; Psychological risk attachment; Risk aversion,0.0,,0,100,Emerald Publishing,"The research focuses on financial investment options and risk preferences, which are related to financial services rather than marketing.",scopus-ai,0,0,"Sophia Sophia tell me more, which is the most risk-free plan of all? AI anthropomorphism and risk aversion in financial decision-making",2022
"Purpose: Digital transformations are altering service models and care delivery methods in healthcare. Artificial Intelligence (AI) represents the next wave of transformation in healthcare. This study aims to understand patient perceptions of AI and its impact on value co-creation. Design/methodology/approach: A conceptual model was developed to investigate how value co-creation operant resources (digital self-efficacy and relational service quality) impact value co-creation engagement (shared decision-making) and value co-creation outcomes (anticipatory AI value co-creation and intention to adopt AI). Data were collected from 332 respondents and analyzed using structural equation modeling. Findings: The results indicate that the value co-creation process for AI technologies is a function of inputs, experiences and AI outputs. Operant resources were found to be positively associated with shared decision-making. However, not all operant resources directly and positively impacted AI outcomes. The indirect and positive mediated relationships through shared decision-making to AI outcomes suggest an interactive AI value co-creation process. Research limitations/implications: AI technologies are still in early stages of consumer adoption in healthcare. Future research is warranted that investigates the validity of the model through maturing service life cycles. Practical implications: Customer perceptions of new digital innovations are formed in the context of previous digital experiences. Marketers need to understand how customers view their current non-AI technologies. Strong engagement and perceived value of current technologies will help ease customers into the usage of AI technologies. Originality/value: This study investigates the unique stages of the value co-creation process for AI technologies in healthcare. The results demonstrate that the value co-creation process is a function of inputs, tech-enabled experiences and AI outputs. © 2023, Emerald Publishing Limited.",Swan E.L.; Peltier J.W.; Dahl A.J.,Out of scope,10.1108/JRIM-09-2022-0293,Artificial intelligence; Digital transformation; Healthcare; Service-dominant logic; Services marketing,,0.0,0,100,Emerald Publishing,"The abstract discusses the impact of AI in healthcare, which is not related to marketing applications. The focus is on patient perceptions and the co-creation of value in a healthcare context rather than marketing strategies or tactics.",scopus-ai,0,0,Artificial intelligence in healthcare: the value co-creation process and influence of other digital health transformations,2024
"This paper introduces an IT artifact called MoFiN DSS that comprises hard- and software components that provide the basis for a prototype of a financial decision support system (DSS) to support individual investors reacting to unforeseen market events. We have derived our motivation for building such a system design from behavioral finance research. Analyses of the behavior of individual investors provide evidence that this segment does react more significantly to any public news published compared to institutional investors. On the other hand, the analyses show that they react significantly slower than their institutional counterparts. Since empirical intraday event study analyses show that capital markets react promptly to new information and that excess returns decrease over a specific period of time, individual investors miss significant trading opportunities due to their current strategies of information research. We address the problem that this market segment is not able to continuously observe diverse information channels and to assess all the new information available. Our prototype decision support system continuously observes company announcements and forecasts their potential impact on the corresponding stock price. After identifying those events for which significant market reactions can be expected, wireless push-based message services provide the technical basis for prompt and location-independent information supply. Based on a novel simulation-based evaluation methodology we have developed, we demonstrate and quantify the advantages that the developed system provides to the individual investors. © 2009 Elsevier B.V. All rights reserved.",Muntermann J.,Out of scope,10.1016/j.dss.2009.01.003,Design science; Financial decision support; Ubiquitous information provisioning,0.0,,5,85,,"The abstract discusses a financial decision support system for individual investors, which falls under financial services rather than marketing.",scopus-artificial intelligence,5,5,Towards ubiquitous information supply for individual investors: A decision support system design,2009
"Assembling financial instruments such as equities, bonds, options, and other derivatives into a portfolio requires a thorough understanding of how the portfolio will behave in response to changes of specific economic variables and parameters of the instruments. With more information about a more diverse set of instruments becoming available to traders, it is becoming important to limit the complexity of the analysis involved. We show how this complexity can be limited by using qualitative analysis, where the objective is to construct a few good vehicles which can then be analyzed quantitatively. We illustrate how two qualitative reasoning techniques - qualitative simulation and qualitative synthesis - are used to design investment vehicles for risk management purposes. These techniques are currently employed by a prototype expert system that aims at assisting traders solving a risk management problem called hedging. © 1995.",Benaroch M.; Dhar V.,Out of scope,10.1016/0167-9236(94)00031-M,(QR); (QSIM); (QSYN); Financial instruments; Financial risk management; Investment decisions; Payoff-profile; Qualitative reasoning; Qualitative reasoning techniques; Qualitative simulation; Qualitative synthesis; Risk management vehicle; Vehicle configuration,0.0,,0,100,,"The abstract discusses financial instruments and risk management, which fall outside the realm of marketing applications.",scopus-artificial intelligence,0,0,Controlling the complexity of investment decisions using qualitative reasoning techniques,1995
"The use of machine learning (ML) in medicine is becoming increasingly fundamental to analyse complex problems by discovering associations among different types of information and to generate knowledge for medical decision support. Many regulatory and ethical issues should be considered. Some relevant EU provisions, such as the General Data Protection Regulation, are applicable. However, the regulatory framework for developing and marketing a new health technology implementing ML may be quite complex. Other issues include the legal liability and the attribution of negligence in case of errors. Some of the above-mentioned concerns could be, at least partially, resolved in case the ML software is classified as a 'medical device', a category covered by EU/national provisions. Concluding, the challenge is to understand how sustainable is the regulatory system in relation to the ML innovation and how legal procedures should be revised in order to adapt them to the current regulatory framework. © 2020 Copyright 2020 by Koninklijke Brill NV, Leiden, The Netherlands.",Bonifazi F.; Volpe E.; Digregorio G.; Giannuzzi V.; Ceci A.,Out of scope,10.1163/15718093-BJA10009,artificial intelligence; ethical issues; health data; machine learning (ML); regulatory issues,5.0,,5,75,Brill Nijhoff,"The abstract discusses the regulatory and ethical issues surrounding the use of machine learning in medicine, which falls outside the marketing context and pertains to healthcare technology.",scopus-artificial intelligence,10,5,Machine Learning Systems Applied to Health Data and System,2020
"We study simultaneous investment and financing decisions made by incumbent owners in the presence of capital market imperfections. We present a theory for how the optimal combination of debt and equity financing depends on the firm's internal funds. We identify complementarities between the two financial instruments. We test these predictions empirically with panel data on 3,119 corporations in the COMPUSTAT database. Our estimates using instrumental variable techniques support our theoretical predictions regarding the link between internal funds and capital investments, as well as the interaction effects between debt and new equity. We explore implications for managers, financiers, and policy makers.",Stenbacka R.; Tombak M.,Out of scope,10.1287/mnsc.48.2.257.260,Capital Structure; Complementarities; Financial Constraints; Investments,5.0,,5,75,INFORMS Inst.for Operations Res.and the Management Sciences,"The abstract discusses capital market imperfections and financing decisions of corporations, which are not directly related to marketing but rather to financial management and investment strategies.",scopus-prediction,5,10,"Investment, capital structure, and complementarities between debt and new equity",2002
"A simulation model is developed for Vietnam to project smoking prevalence and associated premature mortality. The model examines independently and as a package the effects of five types of tobacco control policies: tax increases, clean air laws, mass media campaigns, advertising bans, and youth access policies. Predictions suggest that the largest reductions in smoking rates will result from implementing a comprehensive tobacco control policy package. Significant inroads may be achieved through tax increases. A media campaign along with programs to publicize and enforce clean air laws, advertising bans and youth access laws would further reduce smoking rates. Tobacco control policies have the potential to make large dents in smoking rates, which in turn could lead to many lives saved. In the absence of these measures, deaths from smoking will increase. The model also helps to identify information gaps pertinent both to modeling and policymaking. © 2005 Elsevier Ltd. All rights reserved.",Levy D.T.; Bales S.; Lam N.T.; Nikolayev L.,Out of scope,10.1016/j.socscimed.2005.08.043,Cigarette smoking; Simulation model; Tobacco control policy; Vietnam,5.0,,5,75,,"The abstract discusses a simulation model for tobacco control policies in Vietnam, focusing on public health rather than marketing strategies. It addresses smoking prevalence and mortality rather than marketing tactics or strategies.",scopus-prediction,10,5,The role of public policies in reducing smoking and deaths caused by smoking in Vietnam: Results from the Vietnam tobacco policy simulation model,2006
"Aims: In the literature, it is still unclear if the decisions for selecting the type of implant crown-retaining system are based on scientific-based research or if the Universities’ choices, Implant marketing trends, or finances could have a major influence on the private dentists’ decisions. Objectives: Therefore, this study aimed to evaluate the crown-retaining system (cement- or screw-retained) used in dental schools and private dental practices. Methods: A 13-item questionnaire was sent to Canadian dental schools (n = 10) and dental offices in London (n = 298), Canada. The questionnaire included demographic questions and questions to reveal the dentists’ perspectives on prosthetic implant treatment between the two-retaining systems. Results were analyzed using descriptive statistics and multinomial logistic regression (p = 0.05). Results: Twenty-four private dentists and five dental schools responded to the survey – 62.5% of private practitioners and 60% of universities reported using both systems. A trend was observed in using screw-retained systems by dentists who graduated 5–10 years ago. Straumann, Astra, and Nobel Biocare were the private practices and dental schools’ preferred implant systems. The use of platform switching for all cases was selected by 54.2% of the private practitioners and 40% of the dental schools. Resin cement was the private practice's preferred cementation method; the dental schools used glass ionomer and zinc phosphate cement. The multinomial logistic regressions showed no statistical difference between the crown-retaining system chosen and the decision factors. The laboratory technician's recommendations and cost influenced the decision-making process for private dentists. For the universities, perio-restorative outcome, implant position, survival rates, institute preferences, and evidence-based research influenced the crown-retaining system's decision-making process. Conclusion: The Canadian dental schools and private practice reported using both screw- and cement-retaining systems. However, there was a difference in the selection criteria as the universities showed a tendency towards a more research-based approach in their decision, while for the private practices, the technicians’ recommendations and cost played a major role in the decision process. It was noted that the implant systems preconized by the Universities were observed to be used in private practices. © 2024 The Authors. Journal of Dental Education published by Wiley Periodicals LLC on behalf of American Dental Education Association.",Found A.A.; Shah S.; Fouda M.A.; Santos M.J.M.C.; Butler S.,Out of scope,10.1002/jdd.13568,dental crown; dental practice pattern; dental schools; implant-supported dental prosthesis,0.0,,0,100,John Wiley and Sons Inc,"The abstract discusses dental implant crown-retaining systems and the influences on decision-making in dental practice, which falls under healthcare rather than marketing.",scopus-recommendation,0,0,Survey of screw-retained versus cement-retained implant restorations used in both education and private dental practices,2024
"Background: Active transport has numerous environmental and health benefits. However, these benefits are not evenly distributed across the population because its utilization is strongly linked to a person's socioeconomic and cultural factors. Through the lens of intersectionality, this systematic review analyzed how gender and its interactions with other socioeconomic and cultural factors influence a person's decision to utilize active transport in urban settings. Methods: Following the PRISMA guidelines, the authors screened 1,993 titles and abstracts that were published between January 2000 and December 2021. Twenty-one articles were included for data extraction and synthesis. Results: A person's decision to walk or cycle is highly contextual. In general, women with lower socioeconomic status tend to walk more out of necessity. Women with higher socioeconomic status, higher education level, more free time, and access to safe and convenient infrastructure tend to cycle more. Gendered social and cultural factors might also deter some women from active transport. The following recommendations may attract more people to walk or cycle for transportation: developing community-based programs that empower girls and women to cycle; building a safe environment that protects all vulnerable road users; creating media and social marketing campaigns that shift the cultural narratives around active transport; designing neighourhoods with higher mixed land usage; and advocating for gender and income equality. © 2023 Elsevier Ltd",Yuan Y.; Masud M.; Chan H.; Chan W.; Brubacher J.R.,Out of scope,10.1016/j.jth.2023.101572,Active transportation; Gender; Intersectionality; Socioeconomic status,0.0,,0,100,Elsevier Ltd,"The abstract discusses the impact of socioeconomic and cultural factors on active transport, specifically in relation to gender. It does not relate to marketing or organizational strategic, tactical, or operational aspects, making it outside the scope of the defined classifications.",scopus-recommendation,0,0,Intersectionality and urban mobility: A systematic review on gender differences in active transport uptake,2023
"This study revealed two different sets of push and pull factors affecting the medical travel decision process of two groups of mainland Chinese to Hong Kong, including potential and experienced medical tourists. The relations between identified factors and their willingness of personal visit and recommendation were also investigated. Regarding the recommendation intention, interpersonal acquisition and personal needs satisfaction are mostly considered by travelers in psychological level while recognized high medical reception capacity and quality are also prioritized in the pull aspect. However, local medical service constraints, perceived quality of medical experience shaped by healthcare suppliers, and destination attributes determine the two groups' responses to personal visit intention. Besides, the advantages of developing medical tourism in Hong Kong are implicated as can-be-perceived unique cultural attribute, mass tourism fame as medical tourism development basis, and reputation for high-quality care formed with unintentional or deliberate promotion from third parties and various marketing channels. © 2024 The Authors. International Journal of Tourism Research published by John Wiley & Sons Ltd.",Zhong X.; Chan C.-S.,Out of scope,10.1002/jtr.2615,health and medical care; medical destinations; medical tourism; medical travel motivations; push-and-pull motivational factors,0.0,,5,85,John Wiley and Sons Ltd,"The abstract primarily focuses on factors influencing medical travel decisions and quality of healthcare services, which are not related to marketing. It discusses healthcare services and medical tourism rather than marketing strategies or tactics.",scopus-recommendation,5,5,"Opportunities, challenges and implications of medical tourism development in Hong Kong",2024
"The purpose of this study is twofold. Firstly, the paper calls attention to a unique subset of professional service providers (PSPs) who have obvious product expertise related to their profession yet are only minimally involved in the sales process. Despite this, they are considerably influential in regard to their clients’ brand decision-making process. Examples of these include veterinarians recommending a given pet food brand and dentists recommending a brand of dental floss. Secondly, since environmental sustainability is an important facet of corporate social responsibility, we considered factors that help predict PSPs’ propensity to recommend environmentally friendly brands to their clientele.The conceptual model argues that PSPs’ degree of identification with their profession, self-assessed knowledge in environmental concerns and expectation that sustainable brands will engage in eco-based marketing are all positive influences on PSPs’ likelihood to recommend sustainable brands and generate positive word of mouth. Responses from 467 veterinarians, representing this unique class of PSPs were analysed, and structural equation modelling determined that identification with the profession was a motivating factor in learning more about sustainability. In turn, self-assessed expertise in environmental issues was shown to increase the likelihood that PSPs would recommend sustainable brands. © HENRY STEWART PUBLICATIONS.",Stoica M.; Hickman T.M.,Out of scope,,brand recommendation; corporate social responsibility; professional service provider; social identity theory; sustainability; word of mouth,0.0,,5,85,Henry Stewart Publications,"The abstract primarily discusses professional service providers (PSPs) in contexts such as veterinary and dental services, focusing on their influence on brand recommendations and environmental sustainability. These contexts are not directly related to marketing as defined in the provided classifications.",scopus-recommendation,5,5,A social identity theory perspective on sustainable brand recommendation: The case of professional service providers,2023
