Abstract,Authors,Classification,DOI,Keywords,Not Identified,Not identified,Operational,Out of Scope,Publisher,Reasons,Source,Strategic,Tactical,Title,Year
"An efficient store layout presents merchandise to attract customer attention and encourages customers to walk down more aisles which exposes them to more merchandise, which has been shown to be positively correlated with the sales. It is one of the most effective in-store marketing tactics which can directly influence customer decisions to boost store sales and profitability. The recent development of Artificial Intelligence techniques, especially with its sub-fields in Computer Vision and Deep Learning, has enabled retail stores to take advantage of existing CCTV infrastructure to extract in-store customer and business insights. This research aims to conduct a comprehensive review on existing approaches in store layout design and modern AI techniques that can be utilized in the layout design task. Based on this review, we propose an AI-powered store layout design framework. This framework applies advanced AI and data analysis techniques on top of existing CCTV video surveillance infrastructure to understand, predict and suggest a better store layout. © 2022, The Author(s).",Nguyen K.; Le M.; Martin B.; Cil I.; Fookes C.,Tactical,10.1007/s10462-022-10142-3,Business intelligence; CCTV visual intelligence; Retail layout; Store layout; Video analytic,5.0,,15,0,Springer Nature,"The abstract discusses AI techniques applied to store layout design, which involves structured decisions aimed at improving marketing strategies and customer engagement. This aligns with tactical marketing, where strategic goals are operationalized into specific targets.",scopus-ai,20,60,When AI meets store layout design: a review,2022
"The popularity of telecommute and telehealth care models as well as people’s changes in consumption patterns accelerate the transformation and reform of healthcare industry. Under the catalysis of real needs and technologies, smart healthcare will become the mainstream in the future. Under the specific time and space background, solutions for medical technology innovation has to keep pace with times. Current marketing strategies do not simply rely on external publicity, but also stress on the promotion of service quality for customers actually experiencing good service attitudes. Aiming at customers of AI healthcare industry as the questionnaire analysis objects, total 300 copies of questionnaire are distributed, and 241 valid copies are retrieved, with the retrieval rate 80%. The research results show that external marketing is the most emphasized dimension in AI healthcare industry executing service marketing, and top five indicators, among 12, are ordered information system, customer oriented service process, internal training, media communication, and regulations for service personnel. Finally, conclusions and suggestions are proposed according to the results, expecting to deeply understand critical success factors in AI healthcare industry executing service marketing and provide valuable information for AI healthcare industry making management decisions in the execution of service marketing. © 2024, Expert Projects. All rights reserved.",Tsai W.-J.; Yao S.-H.,Tactical,10.33788/rcis.85.12,AI healthcare industry; critical success factor; healthcare; organizational goals; service marketing,0.0,,15,5,Expert Projects,"The abstract discusses specific marketing strategies and practices implemented in the AI healthcare industry, focusing on service quality and customer experience. It emphasizes measurable aspects such as the distribution of questionnaires and analysis of marketing dimensions, aligning with tactical decision-making.",scopus-ai,20,60,Critical Success Factors in AI Healthcare Industry Executing Service Marketing,2024
"This study investigates the effects of perceived costs and benefits on the value of an AI-driven recommendation agent (AIRA) by examining an AIRAs influence on the perceived costs and benefits of an information search done during a consumers’ decision-making process. AIRAs use AI-driven algorithms that accelerate and integrate information search, the evaluation of alternatives, and the full decision process by extracting users’ preferences and acting on their behalf. These specialized agents facilitate searches for information or alternatives and offer recommendations to help consumers make decisions. This study contributes to the building of a theoretical model of AI-driven recommendation agent values and provides new resources for AI-driven marketing academics and practitioners. © 2020 Korean Scholars of Marketing Science.",Kim J.,Tactical,10.1080/21639159.2020.1775491,AI; artificial intelligence; interactive recommendation agent; perceived cost; perceived benefit,5.0,,15,0,Taylor and Francis Ltd.,"The study focuses on the application of AI-driven recommendation agents in consumer decision-making processes, which aligns with tactical marketing efforts, such as personalization and user engagement.",scopus-ai,10,70,The influence of perceived costs and perceived benefits on AI-driven interactive recommendation agent value; [  感知成本和感知利益对人工智能驱动的交互式推荐代理价值的影响],2020
"Learning outcomes: After studying and analyzing this case, students will be able to: understand and evaluate the integrated marketing communications (IMC) strategy for online businesses; understand and create the various components of an IMC plan; determine the challenges of scaling up a business and how social media marketing can help in that; learn how to assemble the positioning statement of a startup; determine and differentiate the different business models (revenue models); and understand and create the social media marketing strategy. Case overview/synopsis: It was late April 2021, and Mr Srinivas Rao, the co-founder and director of Mentorrd EduTech, India, was contemplating the journey of more than five years. Much had changed since the startup Mentorrd Education Technologies Pvt. Ltd. (Mentorrd EduTech) was launched in 2015. From being an online artificial intelligence (AI)-based tool for analyzing and building resumes, Mentorrd expanded to specialized premium services for career development catering to MBA aspirants from India to international markets. However, during the same time, many problems had also started showing up. The competition had increased, and conversions became difficult. Mentorrd generated 95% of its leads through Google Ads pay per click (PPC) advertising. However, now, the increased competition made PPC costlier, where Mentorrd started at INR 10 per click but was now paying INR 50 per click. The customers also were only limited to searching for keywords; hence, actual lead conversion was minimal. Mentorrd was present on different social media platforms and had developed an audience: LinkedIn (close to 10,000 followers), Facebook (1,600+ followers) and Twitter (numbers), but conversions from there were only contributing to 5% of the total revenue.Mr Rao wondered that with a change in demand from general review services to specialist resume and interview preparation services such as MBA, he would have to develop a sound social media strategy integrated with the current Google Ads usage to reach the audience and generate conversions. He had a limited marketing budget which he wanted to use most effectively but was not sure how to spend across platforms. Complexity academic level: This case can be used as an IMC strategy case for MBA courses in marketing. In a marketing course, the focus should be on components of IMC strategy, customer perception, company positioning and marketing channels. The case can also be applied as a strategy case for courses in entrepreneurship or digital marketing strategy. In an entrepreneurship course, the focus should be on the business model, growth and scaling decisions a startup needs to make to grow the business. In a digital marketing strategy course, the focus should be on social media marketing and search engine marketing decisions and the implications for revenues and profits. The case can also be used in executive-level courses to illustrate IMC, growth and digital marketing strategies for a startup. Supplementary materials: Teaching notes are available for educators only. Subject code: CSS 8: Marketing. © 2022, Emerald Publishing Limited.",Senecha N.; Srivastava R.,Tactical,10.1108/EEMCS-09-2021-0310,Digital marketing; Marketing mix; Marketing strategy; Sales promotions; Social marketing; Social media strategy,5.0,,10,0,Emerald Group Holdings Ltd.,"The abstract discusses the implementation and development of integrated marketing communications (IMC) strategies, social media marketing, and specific tactics for scaling a business, which aligns with tactical decision-making within marketing.",scopus-ai,15,70,Mentorrd EduTech: charting new territories through social media marketing,2022
"TikTok is increasingly influential in promoting brand awareness and boosting purchase intention. From a social media marketing perspective, brand awareness significantly influences consumers’ purchasing decisions. The primary objective of this study is to investigate and measure the factors influencing the brand awareness of TikTok users through social media marketing communications. The paper employs exploratory factor analysis, Cronbach’s Alpha test, and regression analysis to test the hypotheses. 24 observed variables were divided into six groups. Each variable was assessed using a 5-point Likert scale. The sample size includes 240 valid responses from TikTok users collected via convenience sampling. The questionnaire was distributed to TikTok users from Vietnam via the link on Google Forms. The collected data were processed by SPSS 20 software. The results suggest that six independent variables positively affect brand recognition via social media marketing on TikTok, with a 95% confidence interval at Sig. = 0.000 (0.05). Each of the six variables positively impacts initial expectations and is statistically significant at 1%. The results show that trends (Beta = 0.299) are the most decisive factors impacting brand awareness of TikTok users. Besides, electronic word of mouth (Beta = 0.242), influencer (Beta = 0.220), entertainment (Beta = 0.206), interaction (Beta = 0.200), and storytelling (Beta = 0.179) also positively affect the brand awareness of TikTok users. Limitations and further research suggest that marketers should investigate the role of artificial intelligence (AI) in the consumer’s brand awareness-constructing process. © Cuong Nguyen, Thao Tran, Tien Nguyen, 2024.",Nguyen C.; Tran T.; Nguyen T.,Tactical,10.21511/im.20(1).2024.11,brand; e-WOM; entertainment; influencer; interactivity; marketing communications; storytelling; trends,5.0,,15,0,LLC CPC Business Perspectives,"The abstract discusses the factors influencing brand awareness through social media marketing on TikTok, which aligns with tactical decision-making. It focuses on interpreting strategic goals into measurable targets, such as identifying specific independent variables that affect brand recognition and using analysis methods to quantify their impact.",scopus-ai,10,70,Factors affecting users’ brand awareness through social media marketing on TikTok,2024
"Objectives: Social media influencers and celebrities have traditionally been utilized by marketers. However, with the advancements in artificial intelligence, virtual influencers are gaining popularity on social media platforms. As a result, companies are compelled to incorporate this emerging trend into their social media campaigns. However, there is limited research available regarding the effectiveness criteria of virtual influencers to guide marketers in their selection decisions. Therefore, this study aims to investigate the attributes of virtual influencers that impact consumer behavioral intentions, specifically within the fashion domain. Methods:. To measure the antecedents to influencing behavioral intentions, 224 online surveys were distributed to female Instagram users selected through convenience sampling method. The empirical design of the study involoved several Instagram posts created as if by a virtual influencer promoting a fictional fashion brand. These posts measured the constructs related to the research questions, drawing from validated digital human and influencer marketing literature. The collected data was analyzed using the Partial Least Squares method. Results: The study findings revealed that content informativeness, bonding, expertise, human like attributes, and consumer innovativeness all had varying degrees of influence on behavioral intentions, with content informativeness being the most influential factor. Conclusions: The study contributes to the limited literature on virtual influencers and provides novel practical implications to marketers. It also suggests the need for further in-depth studies to identify effective attributes of virtual influencers. © 2023 DSR Publishers/ The University of Jordan.",Almasri Y.,Tactical,10.35516/hum.v50i3.5420,AI influencer; CGI influencer; computer generated influencer; fashion influencer marketing; Virtual influencer,5.0,,15,0,"University of Jordan,Deanship of Scientific Research","The study investigates specific attributes of virtual influencers that impact consumer behavioral intentions, which can guide marketers in structuring their social media campaigns effectively. It interprets strategic goals into actionable insights for marketing decisions.",scopus-ai,10,70,Fashion Virtual Influencers: Antecedents Influencing Females' Behavioral Intentions in Jordan,2023
"Purpose: Big data analytics allows researchers and industry practitioners to extract hidden patterns or discover new information and knowledge from big data. Although artificial intelligence (AI) is one of the emerging big data analytics techniques, hospitality and tourism literature has shown minimal efforts to process and analyze big hospitality data through AI. Thus, this study aims to develop and compare prediction models for review helpfulness using machine learning (ML) algorithms to analyze big restaurant data. Design/methodology/approach: The study analyzed 1,483,858 restaurant reviews collected from Yelp.com. After a thorough literature review, the study identified and added to the prediction model 4 attributes containing 11 key determinants of review helpfulness. Four ML algorithms, namely, multivariate linear regression, random forest, support vector machine regression and extreme gradient boosting (XGBoost), were used to find a better prediction model for customer decision-making. Findings: By comparing the performance metrics, the current study found that XGBoost was the best model to predict review helpfulness among selected popular ML algorithms. Results revealed that attributes regarding a reviewer’s credibility were fundamental factors determining a review’s helpfulness. Review helpfulness even valued credibility over ratings or linguistic contents such as sentiment and subjectivity. Practical implications: The current study helps restaurant operators to attract customers by predicting review helpfulness through ML-based predictive modeling and presenting potential helpful reviews based on critical attributes including review, reviewer, restaurant and linguistic content. Using AI, online review platforms and restaurant websites can enhance customers’ attitude and purchase decision-making by reducing information overload and search cost and highlighting the most crucial review helpfulness features and user-friendly automated search results. Originality/value: To the best of the authors’ knowledge, the current study is the first to develop a prediction model of review helpfulness and reveal essential factors for helpful reviews. Furthermore, the study presents a state-of-the-art ML model that surpasses the conventional models’ prediction accuracy. The findings will improve practitioners’ marketing strategies by focusing on factors that influence customers’ decision-making. © 2021, Emerald Publishing Limited.",Lee M.; Kwon W.; Back K.-J.,Tactical,10.1108/IJCHM-06-2020-0587,Artificial intelligence; Big data analytics; Machine learning; Prediction; Restaurant reviews; Review helpfulness,5.0,,15,0,Emerald Group Holdings Ltd.,"The study focuses on developing and comparing prediction models for review helpfulness using machine learning algorithms, which aligns with tactical decision-making in interpreting strategic goals into structured targets such as marketing analytics and customer acquisition.",scopus-ai,10,70,Artificial intelligence for hospitality big data analytics: developing a prediction model of restaurant review helpfulness for customer decision-making,2021
"Purpose: Tags help promote customer engagement on video-sharing platforms. Video tag recommender systems are artificial intelligence-enabled frameworks that strive for recommending precise tags for videos. Extant video tag recommender systems are uninterpretable, which leads to distrust of the recommendation outcome, hesitation in tag adoption and difficulty in the system debugging process. This study aims at constructing an interpretable and novel video tag recommender system to assist video-sharing platform users in tagging their newly uploaded videos. Design/methodology/approach: The proposed interpretable video tag recommender system is a multimedia deep learning framework composed of convolutional neural networks (CNNs), which receives texts and images as inputs. The interpretability of the proposed system is realized through layer-wise relevance propagation. Findings: The case study and user study demonstrate that the proposed interpretable multimedia CNN model could effectively explain its recommended tag to users by highlighting keywords and key patches that contribute the most to the recommended tag. Moreover, the proposed model achieves an improved recommendation performance by outperforming state-of-the-art models. Practical implications: The interpretability of the proposed recommender system makes its decision process more transparent, builds users’ trust in the recommender systems and prompts users to adopt the recommended tags. Through labeling videos with human-understandable and accurate tags, the exposure of videos to their target audiences would increase, which enhances information technology (IT) adoption, customer engagement, value co-creation and precision marketing on the video-sharing platform. Originality/value: The proposed model is not only the first explainable video tag recommender system but also the first explainable multimedia tag recommender system to the best of our knowledge. © 2021, Emerald Publishing Limited.",Yang Z.; Lin Z.,Tactical,10.1108/INTR-08-2020-0471,Convolutional neural network; Interpretable AI; Machine learning; Multimedia; Recommender system; User-generated content,5.0,,15,0,Emerald Group Holdings Ltd.,"The abstract describes a video tag recommender system aimed at improving user engagement and decision-making for tagging videos. It focuses on structured decisions related to recommendations and user interaction, aligning with tactical objectives.",scopus-ai,10,70,Interpretable video tag recommendation with multimedia deep learning framework,2022
"Nowadays, Big Data and Artificial Intelligence (AI) play an important role in different functional areas of marketing. Starting from this assumption, the main objective of this theoretical paper is to better understand the relationship between Big Data, AI, and customer journey mapping. For this purpose, the authors revised the extant literature on the impact of Big Data and AI on marketing practices to illustrate how such data analytics tools can increase the marketing performance and reduce the complexity of the pattern of consumer activity. The results of this research offer some interesting ideas for marketing managers. The proposed Big Data and AI framework to explore and manage the customer journey illustrates how the combined use of Big Data and AI analytics tools can offer effective support to decision-making systems and reduce the risk of bad marketing decision. Specifically, the authors suggest ten main areas of application of Big Data and AI technologies concerning the customer journey mapping. Each one supports a specific task, such as (1) customer profiling; (2) promotion strategy; (3) client acquisition; (4) ad targeting; (5) demand forecasting; (6) pricing strategy; (7) purchase history; (8) predictive analytics; (9) monitor consumer sentiments; and (10) customer relationship management (CRM) activities. © 2019 LLC CPC Business Perspectives. All rights reserved.",Arco M.D.; Presti L.L.; Marino V.; Resciniti R.,Tactical,10.21511/im.15(4).2019.09,consumer analytics; data-driven; decision support systems; marketing analytics,5.0,,15,0,LLC CPC Business Perspectives,"The abstract discusses the application of Big Data and AI in various specific tasks related to marketing practices and customer journey mapping, which aligns with tactical decision-making that interprets strategic goals into structured targets.",scopus-ai,20,60,Embracing AI and Big Data in customer journey mapping: From literature review to a theoretical framework,2019
"The new business challenges in the B2B sector are determined by connected ecosystems, where data-driven decision making is crucial for successful strategies. At the same time, the use of digital marketing as a communication and sales channel has led to the need and use of Customer Relationship Management (CRM) systems to correctly manage company information. The understanding of B2B traditional Marketing strategies that use CRMs that work with Artificial Intelligence (AI) has been studied, however, research focused on the understanding and application of these technologies in B2B digital marketing is scarce. To cover this gap in the literature, this study develops a literature review on the main academic contributions in this area. To visualize the outcomes of the literature review, the results are then analyzed using a statistical approach known as Multiple Correspondence Analysis (MCA) under the homogeneity analysis of variance by means of alternating least squares (HOMALS) framework programmed in the R language. The research results classify the types of CRMs and their typologies and explore the main techniques and uses of AI-based CRMs in B2B digital marketing. In addition, a discussion, directions and propositions for future research are presented. © 2021 Elsevier Inc.",Saura J.R.; Ribeiro-Soriano D.; Palacios-Marqués D.,Tactical,10.1016/j.indmarman.2021.08.006,Artificial intelligence-based CRMs; B2B digital marketing; Multiple correspondence analysis; R,5.0,,10,0,Elsevier Inc.,"The research focuses on the application of AI-based CRM systems in B2B digital marketing, exploring techniques and uses that align closely with tactical decision-making processes. It involves structured decision-making related to the management of marketing strategies and CRM functionalities.",scopus-ai,10,75,Setting B2B digital marketing in artificial intelligence-based CRMs: A review and directions for future research,2021
