Abstract,Authors,Classification,DOI,Keywords,Not Identified,Not identified,Operational,Out of Scope,Publisher,Reasons,Source,Strategic,Tactical,Title,Year
"Indonesia has witnessed extreme weather conditions in various regions in recent times. In the early 2013, these conditions have caused flood in Karawang district. This extremity in climate conditions indicates that climate change has occurred. Climate change, in the form of high/low rainfall, erratic rainfall or changes in the rainy/dry season, has become problem to paddy farmers of Karawang district, who have faced increase in post-harvest losses of paddy. Technological capability of farmers is one of the main factors that play important role in tackling such conditions. Measurement of post-harvest technological capabilities of paddy farmers in dealing with climate change is carried out using six criteria, such as the production capability, investment capability, capability to make small changes, capability to make major changes, marketing capability, and capability to create network. The methods used to measure the technological capabilities are the Analytical Hierarchy Process (AHP) and Non-Numeric Multi Expert Multi Criteria Decision Making (MEMCDM). This paper studies the level of post-harvest technological capabilities of farmers in dealing with climate change and provides technology policy recommendation. © 2014 Inderscience Enterprises Ltd.",Anujuprana A.H.; Machfud; Sutrisno; Suryani A.,Not identified,10.1504/IJTPM.2014.060158,Climate change; Level of technological capabilities; Policy recommendation; Technological capability,15.0,,15,50,Inderscience Publishers,"The abstract discusses the impact of climate change on agricultural practices, specifically paddy farming in Indonesia, and focuses on measuring technological capabilities rather than marketing-related decisions.",scopus-recommendation,10,10,Model for measuring post-harvest technological capability of paddy farmers in dealing with climate change,2014
"Indecision is not the hallmark of a great manager, but what do we know about when and why managers avoid or postpone decisions? The purpose of this paper is to discuss the limited research on indecision. This article reviews research from judgment and decision making, psychology, management, and marketing literatures to assemble what we already know about indecision. The review spans situational and personal determinants of indecision, highlighting what we know about when and why people experience indecision as well as who is predictably indecisive. Decisions are avoided when people are asked to justify them, when options are similar in attractiveness, and when there are a large number of options to consider. Indecision may sometimes be a result of systematic biases (i.e. omission bias and status quo bias), and indecisive people may be more prone to confirmation bias. Finally, indecisiveness is related to numerous other individual differences, many of which are negative. Specific recommendations for managers include evaluating options separately rather than comparing options, structuring incentive systems to reward decisive action, and explicitly considering the risk of lost opportunity when deciding whether to put off making a decision. The literature reviewed in this paper spans diverse disciplines and perspectives. This paper provides a starting point for managers and researchers interested in understanding indecision: when and why it occurs, who is likely to be most indecisive, and what we might do to counter indecision. © 2011, Emerald Group Publishing Limited",Brooks M.E.,Tactical,10.1108/00251741111130788,Decision making; Leadership; Managers,5.0,,20,5,,"The abstract discusses indecision in management and provides recommendations for decision-making, which aligns with tactical decision-making processes that interpret strategic goals into actionable steps. It focuses on practical strategies to improve manager decision-making rather than long-term organizational goals.",scopus-recommendation,10,60,Management indecision,2011
"This study observes the potential decrease in air travel as a result of terrorist attacks in relation to individuals' sociodemographic variables and media usage. Drawing from a sample of 2,023 respondents in the 2008 General Social Survey data set, this study seeks to identify market segments that have been most significantly impacted by terrorism events since September 11, 2001. Data are analyzed through direct logistic regression, resulting in a statistically significant model, χ2 (10, N = 685) = 25.40, p = 0.005. Results show two significant predictors of a terrorist-based decision to reduce air travel: occupational prestige and gender. Conclusions reveal the sociodemographic profile defining the market segment that has reduced air travel because of terrorist activity. Finally, recommendations are provided for enhancing and delivering marketing advertisements to this market segment. © 2011 Cognizant Comm. Corp.",Stickel E.A.,Tactical,10.3727/108354211X13202764960861,Sociodemographic market segmentation; Terrorism; Tourism,5.0,,15,0,Cognizant Communication Corporation,"The abstract focuses on identifying market segments affected by terrorism-related decisions to reduce air travel, which falls under the tactical level as it interprets strategic goals into specific targets and recommendations for marketing efforts.",scopus-recommendation,10,70,Predictors of terrorism-related air travel reductions and associated tourism impacts,2011
"Purpose: The purpose of this paper is to study the use of online recommendation systems on e-commerce sites is which becoming more common as marketers recognize their potential to improve their own operations as well as consumers' shopping experiences. Since some consumers question the credibility of these systems, this study compares responses to such systems (classified based on their source into seller and third party systems) with responses to recommendations coming directly from other consumers. The latter may also be better suited for consumers today since many of them utilize direct information from social media on a daily basis. Past research indicates that reactions to such recommendations may depend on the types of goods they describe and therefore this study also tests whether consumer responses vary with types of goods. The study examines consumer reactions to recommendations designed for search, experience, and credence goods. Finally, this study also explores the most desired features of recommendations to help marketers come up with the most effective recommendations that help facilitate purchasing decisions. Design/methodology/approach: The study surveys a convenience sample of 202 undergraduate students to test these objectives. It was a 3 (product types) by 3 (recommendation types) factorial design with multiple dependent variables and three covariates. Findings: The study reveals that, irrespective of the product type, consumers react differently to the three types of recommendations that are tested. This study shows that consumers have the most positive attitudes and most frequently utilize recommendations coming directly from other consumer. This suggests that more attention should be directed to these recommendations in marketing theory and practice. Consumers also hold more positive attitudes towards third-party recommendation systems than recommendation systems coming from the seller. They also have more positive reactions toward recommendations designed for search and experience goods rather than credence products. Finally, the study also examines the usefulness of different characteristics of these recommendations to help online managers develop most effective recommendations online and finds that it varies with different types of recommendations and products for which recommendations are used. Originality/value: In addition to the recommendation systems that have been explored in the past (seller and third party systems), the study examines reactions to recommendations coming directly from other consumers, as these recommendations may be better suited for today's audiences. The study shows which recommendation type is best received and most frequently used online. It also tests reactions to recommendations designed for different types of goods. This study includes credence goods, in addition to search and experience products, since consumer reactions to recommendations designed for credence goods have not been yet explored in the past research. It also found that recommendations are better received for goods with a higher number of search features. Finally, the study explores the specific features of different recommendation types and based on the findings proposes how these online recommendations should be structured to be most effective. © Emerald Group Publishing Limited.",Lepkowska-White E.,Tactical,10.1108/JRIM-07-2012-0027,Advertising; Internet advertising; Internet marketing; Marketing communication; Online shopping; Young consumers,10.0,,20,0,,"The study focuses on the comparison of different types of online recommendation systems and consumer reactions, which aligns with tactical decision-making in marketing, specifically in campaign optimization and consumer engagement strategies.",scopus-recommendation,10,60,Are they listening? Designing online recommendations for today's consumers,2013
"Managers are eager to know whether they should use gender-specific strategies to communicate with male and female consumers differently to recommendation services in Internet-based selling, as both groups are worthwhile and profitable to target. This issue has been overlooked in the literature, despite its importance and the fact that recommendations have become a major online advertising tactic in recent years. This study is diverse from existing studies in three ways: testing recommendation agent acceptance in the information context, revealing gender effects and applying a new lens of cognition-conation. By proposing a theoretical model based on the advertising hierarchy of effects model, this study investigated consumers' elaboration processes towards recommendation agent advices. Based on 432 members randomly selected from a database of a well-known Internet-based sellers, the study finds that women consider perceived usefulness of recommendation agent advices to a greater extent than men while making decisions about the usefulness of recommendations. Further, consumers' perceived usefulness is more strongly influenced by their perceived shopping task uncertainty than by involvement, while more-involved consumers have lower levels of perceive shopping task uncertainty. © 2011 Elsevier B.V. All rights reserved.",Doong H.-S.; Wang H.-C.,Tactical,10.1016/j.elerap.2010.12.005,Advertising hierarchy of effects model; Empirical research; Perceived usefulness; Product involvement; Recommendation agents; Shopping task uncertainty,0.0,,20,0,,"The abstract discusses the acceptance of recommendation agents and the influence of gender on consumer behavior, which aligns with tactical marketing decisions focused on implementing strategies for targeting consumers effectively.",scopus-recommendation,10,70,Do males and females differ in how they perceive and elaborate on agent-based recommendations in Internet-based selling?,2011
"Based on a realist conceptualization of interests, this paper explores how commercial and scientific priorities appear to have converged and diverged during the development of the antidepressant Zelmid. The drug represents the first of the selective serotonin reuptake inhibitors (SSRIs) to reach the market. Zelmid was synthesized in 1971 and launched by the Swedish firm Astra in 1982, but subsequently withdrawn the next year because of adverse neurological effects. This paper draws on in-depth interviews with scientists representing both industry and academia who had high-level involvement in various phases of the project (experimental, pre-clinical and clinical), as well as on textual sources such as scientific articles and memoirs. Zelmid was a product of mechanism-based or ""rational"" drug discovery from the early 1960s and the associated intermingling of science and commerce. It is argued that both scientists and the pharmaceutical company shared an interest in embracing mechanism-based drug discovery because it simultaneously promised medico-scientific advances and profits. However, the intermingling of science and commerce also strained the relationship between scientific and commercial priorities further along the trajectory of the drug; for example, concerning issues such as dosage strategy and drug use in primary care, where corporate management allegedly took decisions contrary to the recommendations of both academic and company scientists. On such occasions the asymmetry in power became apparent in scientists' narratives: commercial considerations trumped those of science since, ultimately, decisions rest with management, not with scientists. In addition, temporality appears to be associated with the divergence of commercial and scientific priorities. While rare during experimental and pre-clinical phases, divergence was concentrated downstream to the clinical testing and post-marketing phases. It is hypothesized that a similar pattern of convergence and divergence of commercial and scientific priorities may exist in the trajectory of other drugs. © 2015 The Author.",Mulinari S.,Out of scope,10.1016/j.socscimed.2015.06.020,Antidepressant; Drug development; History; Interests; Pharmaceutical industry; Psychiatry; SSRI; Sweden,0.0,,0,100,Elsevier Ltd,"The content of the abstract focuses on the development of a pharmaceutical drug and the interplay between scientific and commercial interests, which does not relate to marketing applications.",scopus-recommendation,0,0,"Divergence and convergence of commercial and scientific priorities in drug development: The case of Zelmid, the first SSRI antidepressant",2015
"Tne purpose of this paper is to examine the nine-buying decision-making process of U.S. Generation Y purchasers, when they select European wines. This is one of few empirical studies of U.S. Generation Ywine consumers and their nine purchasing decisions. Using the Howard Model of Consumer Decision Making, the researchers analyzed the significant factors Generation Y purchasers use as they make decisions about wine purchases. Generation Y respondents across the United States who were of legal drinking age were surveyed. In total 713 usable surveys were obtained. Tne researchers found that when Generation Y purchasers consider European Mines, the variables of consumer experience and brand familiarity are significant to the decision process. In addition, the consumer search process helps to build brand familiarity. In turn, brand familiarity improves the consumer attitude which contributes to the intent to purchase wine. Tne results provide valuable information about Generation Y Mine purchasers and it is to these individuals the global wine industry is looking for market growth. European wineries and their associations can use this information to improve their promotional activities and better educate Generation Ypurchasers about their products as they develop marketing programs and positioning strategies Mithin the U.S. Wineries can also target other upon whom Generation Y purchasers rely for recommendations. This information will enable wineries to use their marketing funds more efficiently.",Geringer S.D.; Patterson D.M.; Forsythe L.M.,Tactical,,,5.0,,15,0,Allied Academies,The abstract outlines specific factors influencing Generation Y's wine purchasing decisions and suggests actionable strategies for wineries and associations to improve their marketing efforts. This indicates a focus on structured decision-making that fits within tactical planning for marketing activities.,scopus-recommendation,10,70,When generation Y buys European wine: A consumer decision-making model,2014
"Today's information-intensive economy places increased importance on high-technology products, and this is shown in high-tech firms' increasingly expanded role in the global economy. Markets of high-technology products are characterized by a combination of the specific attributes. As a result of these characteristics, marketing management should be adapted to effectively handle the complicated environment in which customer decisions, and the firm's marketing decisions are made. Especially marketing must be effectively integrated with other managerial areas. In this context the paper focuses on the value of being market-oriented in high-tech markets. The need for integration marketing function with other management areas is formulated and explained. The conclusions are added to provide some recommendations for high-tech companies how to integrate marketing with other management areas.",Nowak M.W.,Strategic,,,5.0,,10,0,,"The abstract discusses the integration of marketing with other management areas and the importance of being market-oriented in high-tech markets, which aligns with long-term organizational goals and strategic planning.",scopus-recommendation,60,25,Markets of high-technology products - Selected implications for market orientation; [Rynki produktów opartych na nowoczesnych technologiach - Wybrane implikacje dla orientacji rynkowej],2006
"If marketers wish to communicate the positive characteristics of purchasing the private hospital experience, the marketers need to be able to identify which of the participants in the purchasing process is acting in the role of decision maker. Research was undertaken of doctors in the rural setting. Potential respondents were selected from Orange to Broken Hill; from Coonabarabran to Young. Two private hospitals are known to be located within this region - one in Orange and one in Dubbo. In most cases, patients in the rural setting are having the final say as to which hospital to attend. They are filling the role of decision maker. The factors that potential patients are considering in their decision include the services provided by the hospital - specifically factors relating to accommodation, services and cost. These observations are those as interpreted by the doctors who see these patients. Based on the findings of the survey a number of recommendations have been made: (1) Any marketing communication by hospitals should target primarily patients and then doctors. (2) Further research should be undertaken to attempt to accurately determine what characteristics are considered when patients and doctors refer to hospital services. (3) Research should be undertaken to determine the identity of all parties involved in the purchasing decision process. (4) Further research should be undertaken of the general population to determine what factors relating to a hospital are considered when making the hospital purchasing decision. (5) Further in depth analysis should be conducted with the raw data.",Sloane G.; Tidwell P.; Horsfield M.,Tactical,10.1300/J043v13n01_04,,0.0,,15,5,,"The abstract focuses on specific marketing strategies and recommendations to effectively communicate with potential patients and doctors in the context of private hospital services. It suggests targeted marketing approaches, which align with tactical decision-making that interprets strategic goals into actionable plans.",scopus-recommendation,10,70,Identification of the decision maker for a patient's hospital choice: Who decides which hospital?,1999
"Purpose This research is a qualitative study which aims to investigate the intricacies of organisational buying behaviour in the context of the Irish biotechnology industry. Particularly the research seeks to focus on the phenomenon of buying centres as the core decision-making unit in an organisation and examines the functionality of such a process. The main aims of the research study is to examine key influencers, as well as to examine the decision process itself so as to fully comprehend modern organisational buyer behaviour and to discuss these issues from a practical viewpoint beneficial to both the marketing and purchasing functions. Design/methodology/approach The research process was conducted through qualitative methods, which formed a combination of focus group and key respondent interviewing. A triangular approach of data was also used to obtain quality information and to achieve a platform upon which to base accurate conclusions. A small number of organisations from industry participated in this study, which was deemed sufficient as the purpose of the study was gaining insight as opposed to proving or disproving previous theories. Findings It was discovered that users were key influencers in the decision process as were quality control personnel. In addition the business functions were found to be the decision makers in a highly dynamic buying centre process, which is constantly changing in terms of numbers, participation, and structure. Based on the finding of the research newer models of organisation buying behaviour were developed in addition to appropriate marketing strategies being put forward in order to better represent the realities of modern business-to-business marketing. This is where the real benefits of this research will be seen as marketing organisations become more efficient, buying organisations develop best practice procedures, and academics can build on this research base to further enhance marketing knowledge. Originality/value The paper examines buying centres in Irish biotechnology companies and offers recommendations for future research. © 2006, Emerald Group Publishing Limited",Howard P.; Doyle D.,Strategic,10.1108/08858620610681579,Biotechnology; Buying behaviour; Ireland,5.0,,10,5,,The research focuses on understanding the intricacies of organizational buying behavior and examines key influencers and decision processes within the context of the Irish biotechnology industry. This aligns with strategic-level considerations as it aims to provide insights that can inform long-term marketing strategies and organizational goals.,scopus-recommendation,60,20,An examination of buying centres in Irish biotechnology companies and its marketing implications,2006
