Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Classification,Reasons,Strategic,Tactical,Operational,Out of Scope,Not Identified
Travellers' behavioral intentions depending on their beliefs: an empirical study,Pantouvakis A.,2013,10.1108/17566691311316211,"Purpose – The purpose of this paper is threefold: first is to study and analyse the personal beliefs of the customers regarding their generic assessments for the main issues of today: environment, culture or equal opportunities for everyone. Second, it will attempt to compare the differing opinions different customers from several countries possess. Finally, it is to relate, link and model the influence these opinions may have on the country selection made by the tourist. Design/methodology/approach – Evidence is drawn from a sample of approximately 1,600 customers/tourists who visited Crete island. Those in the sample were from ten different countries of origin. The research attempts to shed some light on the importance of travellers' beliefs by using the multinomial logistic model that tested whether it can produce results for prediction and comparisons. Findings – Results suggest that tourist beliefs can be categorized in three factors, namely country's characteristics, tradition and hygiene that are differentiated among nationality groups. No robust support is provided for any relationship between travellers' values and country selection and thus arguing for further research in tourism marketing and policy. Practical implications – By using the findings of this work, hotel managers and tour operators can identify the multicultural diversity of international tourists. Originality/value – This work addresses the ways with which customers by using their personal beliefs select destinations (countries). It diverts from the mainstream relevant literature that focuses almost solely on the level of satisfaction or the level of service the customer enjoys. One of the issues that remains rather neglected is the importance that personal characteristics and attributes of the tourist/customer influence the final decision on where to spend his/her holidays. © 2013, Emerald Group Publishing Limited",Greece; Personal beliefs; Tourism marketing; Values,,scopus-prediction,Tactical,"The abstract discusses the analysis of customer beliefs and their influence on destination selection, which translates into actionable insights for hotel managers and tour operators. This aligns with tactical decision-making, where strategic goals are interpreted into specific targets and actions.",20,60,15,0,5
Influence of Loss Aversion on NCAA Men's Basketball Bracket Predictions; [损失规避心理对美国大学男子篮球联赛对阵表预测行为的影响],Yim B.H.; Byon K.K.,2018,10.1080/24704067.2017.1411163,"The NCAA Men's Division I Basketball Championship, known to fans as March Madness, is one of the most popular annual sporting events in the United States. Despite its economic impact on the sport industry, relatively few studies have examined phenomena associated with March Madness bracketology. The few existing studies have focused on making accurate tournament predictions rather than examining bracketology in ways that might assist sport marketers. To fill this void, the current study applied loss aversion theory to the decision-making process of NCAA tournament bracket participants. The purpose of the study was to develop a framework for understanding how emotional loss aversion might influence the decision of highly and lowly identified fans to choose against one's favorite team when it is likely to lose the game. © 2017, © 2017 Global Alliance of Marketing & Management Associations (GAMMA).",loss aversion; NCAA Men's Basketball Championship; sport fan emotion; sport marketing; team identification,Routledge,scopus-prediction,Tactical,"The study provides insights into how emotional loss aversion influences decision-making among fans participating in NCAA tournament bracketology, which can assist sport marketers in developing targeted strategies.",10,70,15,0,5
The general theory of behavioral pricing: Applying complexity theory to explicate heterogeneity and achieve high-predictive validity,Woodside A.G.,2015,10.1016/j.indmarman.2015.02.004,"Building behavioral-pricing models-in-contexts enriches one or more goals of science and practice: description, understanding, prediction, and influence/control. The general theory of behavioral strategy includes a set of tenets that describes alternative configurations of decision processes and objectives, contextual features, and beliefs/assessments associating with different outcomes involving specific price-points. This article explicates these tenets and discusses empirical studies which support the general theory. The empirical studies include the use of alternative data collection and analytical tools including true field experiments, think aloud methods, long interviews, ethnographic decision-tree-modeling, and building and testing algorithms (e.g., fuzzy-set qualitative comparative analysis). The general theory of behavioral pricing involves the blending of cognitive science, complexity theory, economics, marketing, psychology, and implemented practices. Consequently, behavioral pricing theory is distinct from context-free microeconomics, market-driven, and competitor-only price-setting. Capturing and reporting contextually-driven alternative routines to price setting by a compelling set of tenets represent what is particularly new and valuable about the general theory. The general theory serves as a useful foundation for advances in pricing theory and improving pricing practice. © 2015 Elsevier Inc.",Behavioral; Configuration; Empiricism; Pricing; Theory,Elsevier Inc.,scopus-prediction,Strategic,"The abstract discusses a general theory of behavioral pricing that blends multiple disciplines to provide insights into decision processes and objectives, which aligns with long-term strategic goals of pricing theory and practice.",60,25,10,0,5
Direct mailing decisions based on the worst and best practice cross-efficiency evaluations,Mahdiloo M.; Noorizadeh A.; Saen R.F.,2013,10.1504/IJBIS.2013.056138,"The problem argued in the literature of direct mailing decisions generally contains three parts: 1) forecasting customers' future purchase/non-purchase responses; 2) evaluating the effectiveness of various strategies for increasing customers purchase responses; 3) prioritising the customers in terms of their values. A significant body of the literature has been dedicated to the first two components, and in particular, to purchase/non-purchase prediction modelling. However, in the current paper, we do not address these two components, but rather we focus on the third component. To this end, data envelopment analysis (DEA) technique and particularly cross-efficiency formulation of the best practice frontier Charnes, Cooper and Rhodes (CCR) (Charnes et al., 1978) (BPF-CCR) is used to determine those customers who should be put on the first priorities of marketing mailing list. In addition, the cross-efficiency formulation of worst practice frontier CCR (WPF-CCR) is developed to exclude the worst customers from mailing list and save the mailing expenses for the best practice ones. Using a numerical example, the application of the proposed model is demonstrated. Copyright © 2013 Inderscience Enterprises Ltd.","Best practice frontier, BPF; Cross-efficiency; Data envelopment analysis; Direct mailing; Worst practice frontier; WPF",Inderscience Publishers,scopus-prediction,Tactical,"The abstract focuses on prioritizing customers for direct mailing using specific methodologies such as data envelopment analysis and cross-efficiency formulations. This aligns with tactical decision-making, where strategic goals are translated into actionable targets like improving marketing efficiency and customer targeting.",10,70,15,0,5
"Appropriate tools of marketing information system for citrus crop in the lattakia region, R. A. Syria",Sulaiman H.; Malec K.; Maitah M.,2014,,"Citrus production represents the only livelihood source for many families in Lattakia region. Citrus farmers are not informed about expected prices. This information is crucial to make business decisions. For the farmers is necessary to take into account the spatial and temporal arbitrage of citrus harvest and storage, which may improve citrus farmer's position in marketing chain and reduce the influence of intermediaries. The aim of the paper is to verify using of SARIMA models as a tool of Agricultural Marketing Information System for citrus price forecasting in Lattakia region, R. A. Syria. The SARIMA model were tested for citrus wholesale prices prediction at Lattakia market in the paper. SARIMA model was applied on the empirical data, obtained from the actual Marketing Information System in the Lattakia Region. Results showed that SARIMA model (2,1,0) (1,0,1)12 is suitable for seasonal prices prediction. This method is suitable to be part of AMIS. The data was processed in software Minitab.",Citrus fruits; Decision-making; Lattakia; Marketing information system; SARIMA model; Syria,Faculty of Economics and Management,scopus-prediction,Tactical,"The abstract discusses the use of SARIMA models for citrus price forecasting, which aligns with tactical decision-making in agricultural marketing. It focuses on specific tools and methods that can be applied to improve farmers' pricing strategies.",10,70,15,0,5
An integrated model for predicting consumer's intention to write online reviews,Dixit S.; Jyoti Badgaiyan A.; Khare A.,2019,10.1016/j.jretconser.2017.10.001,"For marketers, consumers’ increasing use of online reviews in arriving at purchase decisions is a double edged sword. On one hand, it presents opportunity for manufacturers and sellers to be highlighted for their good work, but at the same time, there remains a possibility of negative review impacting goodwill and reputation. Hence, it is important for managers to identify factors that impact consumers’ intentions to write online reviews. This research delves into this aspect by trying to identify the factors that impact reviews writing intentions of consumers for restaurants. The study extends the theory of planned behaviour with additions of variables such as ego involvement, taking vengeance and helping a restaurant. For this, 252 valid responses were obtained, and structural equation modeling was used to test the proposed model. Results indicate that perceived behavioural control, subjective norms, ego involvement and taking vengeance are significant predictors of intention to write online reviews for the restaurants. © 2017 Elsevier Ltd",Consumer behaviour; E-WOM; Intentions to write online reviews; Theory of planned behaviour,Elsevier Ltd,scopus-prediction,Tactical,"The research identifies specific factors that influence consumers' intentions to write online reviews, translating strategic goals into actionable insights for marketers, which aligns with tactical decision-making.",10,70,15,0,5
Econometric assessment of customers’ personality biases and communication preferences correlation; [Ekonometrické zhodnocení korelace chyb osobnosti u zákazníků a komunikačních preferencí],Kostelić K.; Pavlović D.K.,2018,10.15240/tul/001/2018-3-009,"The tendency of bias identification and quantification with the goal of better estimation and prediction, grows. The purpose of this paper is to question how deep analysis is necessary to increase prediction of communication preferences given the customer’s personality traits/biases. Examined communication preferences regard to the communication approach, language use and information sharing. This paper offers a psychometric assessment of the personality estimates and traits, as well as econometric examination of correlation to consumer first-choice communication preferences using linear logit model with binomial dependent variable. The results point out that the more detail analysis provides more accurate predictions, to the point where estimators as regressors for communication choices provide more accurate prediction than the use of the personality traits as independent variables. Paper delivers empirical assessment of consumers’ communication preferences using primary data set. Practical implications relate to the use of the findings in communication with consumers in online and/ or digital marketing communication. One of the possible practical use of the results can be as an input for the recommendation agents. Theoretical implications of the findings request questioning the use of the personality traits as an interim stage in decision-making predictions. In addition, these findings fill the gap in the field of communication preference based on personality traits and personality estimators. The data set has been previously used for the doctoral thesis research. For the purpose of this research, data was re-coded and analyzed using different approach, namely binomial logistic regression. © 2018, Technical University of Liberec. All rights reserved.",Communication preferences; Consumer decision-making; Logistic regression; Personality traits/biases,Technical University of Liberec,scopus-prediction,Tactical,"The abstract discusses methods for predicting communication preferences based on personality traits, which aligns with tactical decision-making in marketing, such as advanced targeting and personalization advertising.",10,70,15,0,5
Performance-measurement system design and functional strategic decision influence: The role of performance-measure properties,Artz M.; Homburg C.; Rajab T.,2012,10.1016/j.aos.2012.07.001,"Although conceptual research in the accounting literature suggests that the use of performance-measurement systems affects the influence of organizational actors, empirical evidence for this suggestion is largely limited to anecdotal evidence and a few qualitative case studies. Drawing on institutional theory, we develop predictions that link the use of performance measures to the influence of functional subunits in strategic decision making. Our research model tests the effects of two types of performance-measure use on functional strategic decision influence: (1) decision-facilitating use and (2) use for accountability. Moreover, we propose that the effects of using performance measures for these two purposes depend on the reliability and functional specificity of the measures the functional subunits use. We empirically test our hypotheses and a research question with survey data from 192 marketing directors of German firms. We find that the effect of performance-measure use on functional strategic decision influence depends on the two properties of the performance measures. We find no significant effects when these properties are not considered. However, decision-facilitating use of performance measures has a positive effect on functional strategic decision influence when the measures are specific to the functional subunit. With respect to the use of performance measures for accountability we find countervailing effects, as the effect on functional strategic decision influence is positive when the measures are more reliable but negative when they are more specific to the functional subunit. We discuss these findings in light of existing evidence and theory. © 2012 Elsevier Ltd.",,,scopus-prediction,Strategic,"The abstract discusses the influence of performance-measurement systems on strategic decision-making within organizations, linking it to long-term goals and overall organizational structure. It focuses on how different uses of performance measures impact strategic influence, which aligns with strategic planning.",60,20,10,5,5
What factors explain the price of top quality wines?,Ferro G.; Benito Amaro I.,2018,10.1108/IJWBR-05-2017-0036,"Purpose: Given the growing supply of wines and the large number of new consumers with purchasing power but lacking knowledge of the subtleties of high-quality wines, expert opinions are used for consumers as proxies for quality. This study aims to determine the determinants of prices in top-quality wine market. The authors also seek to estimate the role for country of origin, grape, producing region and winery in prices. And, finally, the authors try to show how countries, regions and wineries can help increase their position in international rankings. Design/methodology/approach: The authors try to answer: What factors explain the price of top-quality wines (defined as best rated in a standardized ranking)? To some extent, in the hands of producers influence prices, which imply long-term decisions or large investments in land and marketing. Other variables that consumer value does affect prices. The authors try also to detect undervalued or overvalued wines, grapes, regions, wineries or producer countries. The authors estimate an econometric model of hedonic prices using a 14-year sample of the Wine Spectator’s 100 top-rated wines for the American market between 2003 and 2016, totaling 1,400 observations. The sample is a great cross-section because each wine is unique. Findings: The authors’ contribution is twofold: the determination of the price explanatory values and the identification and attribution of price differences by country, grape, region and winery. Also, the authors detected grapes, countries, regions and wineries which are overvalued or undervalued with respect to the average prediction of the model. Research limitations/implications: The findings are useful to understand the role of price explanatory variables, as well as for making policy and managerial decisions. From the model, collective or managerial actions can be derived to increase particular wines’ positions in international rankings. The proxy for “quality” in the study is not the only possible definition. Practical implications: In some cases, managerial choices could be conditioned by the policies or history. There is some room for collective action and public policies to improve regions’ and countries’ reputation. Social implications: There are clear synergies for policies that can raise the prestige of countries and regions and their spillovers on the brand name reputation of individual wineries. Originality/value: The results, policy and managerial implications are of interest for business, countries interested in improving their position in international rankings and for consumers to make more informed decisions. © 2018, Emerald Publishing Limited.",Econometric model; Economic sectors; Economics; Hedonic model; Pricing; Quality assessment; Quality ratings; Wine prices,Emerald Group Holdings Ltd.,scopus-prediction,Strategic,"The abstract discusses long-term decisions regarding price determinants in the top-quality wine market, including factors that influence pricing and how countries and regions can improve their positions in international rankings. This indicates a focus on overarching goals and strategies rather than immediate or tactical decisions.",60,25,10,0,5
Are you still online or are you already mobile? – Predicting the path to successful conversions across different devices,Kaatz C.; Brock C.; Figura L.,2019,10.1016/j.jretconser.2019.04.005,"As digitalization increases, retail firms must invest in online and mobile commerce to attract customers to their website or mobile store. Since the type of device used to access marketing channels influences conversions, this research examines the different impacts of different devices such as desktop computers, tablets, and smartphones on the success of various marketing channels. We find customer experience (CX) to be important in improving attribution outcomes (e.g., conversion rates) by combining clickstream and survey data to understand consumers’ decision processes. Therefore, this paper also conceptualizes and measures perceptions of CX of clickstream-data participants. We identify the central implications of using each device. © 2019 Elsevier Ltd",Attribution modeling; Customer experience; Markov chains,Elsevier Ltd,scopus-prediction,Tactical,"The abstract discusses the impacts of different devices on marketing channel success and emphasizes customer experience improvement through data analysis, which aligns with tactical decision-making in marketing.",15,70,10,0,5
